id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
7547a652,bear,s56|s76|s99|s37,4,0.0480722751,0.0194212926,21.6327,0.0,-8.3476,31,41.9355,0.116123,5,0.1613,118630.12,11.863,60.0,2.1075,10.5374,8,0.2581,-25753.64,-2.5754,25.0,-0.2548,-2.0383,18,0.5806,191293.99,19.1294,44.4444,1.0576,19.0365
c9c3f3e3,bull,s2|s46|s34|s73|s21,5,0.0300235893,0.0182403938,7.7947,0.0,-10.0873,41,46.3415,0.114752,21,0.5122,45661.71,4.5662,42.8571,0.2444,5.1328,6,0.1463,36598.98,3.6599,50.0,0.5892,3.535,14,0.3415,85266.82,8.5267,50.0,0.5892,8.2482
214c15aa,bear,s80|s86|s28,3,0.0488581218,0.0125280058,23.7369,0.0,-11.6975,35,34.2857,0.113899,19,0.5429,330786.0,33.0786,47.3684,1.655,31.4443,11,0.3143,-77682.02,-7.7682,9.0909,-0.6947,-7.6422,5,0.1429,60840.85,6.0841,40.0,1.2026,6.0132
c4288b67,bear,s85|s98|s52|s37|s80,5,0.0289815696,0.0164429372,6.9496,0.0,-11.7357,45,44.4444,0.113332,25,0.5556,80567.8,8.0568,44.0,0.3544,8.8596,12,0.2667,31221.11,3.1221,41.6667,0.2484,2.9807,8,0.1778,49413.22,4.9413,50.0,0.6269,5.0155
66d8bf8e,bear,s85|s56|s37|s52,4,0.0396739021,0.0188266225,14.9809,0.0,-18.0037,43,41.8605,0.113085,13,0.3023,55004.73,5.5005,38.4615,0.3674,4.7757,12,0.2791,8727.73,0.8728,33.3333,0.0674,0.8083,18,0.4186,169126.74,16.9127,50.0,1.0424,18.7626
d82d82a4,bear,s49|s90|s99,3,0.030594395,0.016061624,11.2814,0.0,-20.0908,68,42.6471,0.112795,19,0.2794,5730.19,0.573,36.8421,0.1127,2.1421,21,0.3088,80689.54,8.069,42.8571,0.3934,8.261,28,0.4118,186778.68,18.6779,46.4286,0.56,15.6803
6891e68e,bull,s88|s94|s27,3,0.0667667843,0.013281112,25.4537,0.0,-20.8885,62,24.1935,0.11173,25,0.4032,-26738.42,-2.6738,16.0,-0.0473,-1.1836,22,0.3548,119684.94,11.9685,22.7273,0.4912,10.8055,15,0.2419,297956.87,29.7957,40.0,1.8738,28.1071
a2813c9b,bull,s41|s40,2,0.046667386,0.0173304488,14.6158,0.0,-11.0315,41,36.5854,0.110802,17,0.4146,87064.67,8.7065,35.2941,0.5257,8.9369,8,0.1951,-85577.13,-8.5577,12.5,-0.9331,-7.4646,16,0.3902,244564.53,24.4565,50.0,1.4668,23.4695
88bd8ec0,bear,s72|s101|s52|s66,4,0.0584375237,0.0199139084,16.882,0.0,-12.4473,43,32.5581,0.10996,10,0.2326,196851.15,19.6851,50.0,1.9262,19.2618,7,0.1628,-72827.25,-7.2827,14.2857,-0.8721,-6.1046,26,0.6047,104160.8,10.4161,30.7692,0.4194,10.905
18f78f1b,bear,s77|s90|s99|s23,4,0.0285921466,0.0127214849,12.3599,0.0,-15.7668,42,42.8571,0.109797,6,0.1429,48295.16,4.8295,50.0,0.7935,4.7612,13,0.3095,40637.82,4.0638,38.4615,0.3168,4.1189,23,0.5476,130906.44,13.0906,43.4783,0.5241,12.0542
