id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
f872cba2,bear,s72|s57|s66,3,0.0223036443,0.0141020197,2.5171,0.0,-8.0704,41,46.3415,0.102403,10,0.2439,79028.23,7.9028,60.0,0.7741,7.7414,17,0.4146,8928.25,0.8928,41.1765,0.0889,1.5105,14,0.3415,18990.99,1.8991,42.8571,0.15,2.1006
15ce2dcf,bear,s90|s18|s23|s77,4,0.0217203005,0.0081811557,5.6344,0.0,-10.6442,79,36.7089,0.100732,37,0.4684,115987.18,11.5987,37.8378,0.3133,11.5918,22,0.2785,119054.4,11.9054,45.4545,0.541,11.9029,20,0.2532,-15719.2,-1.5719,25.0,-0.0706,-1.4116
f7a392c1,bear,s72|s81|s90,3,0.0501102152,0.011557314,19.4103,0.0,-19.6171,60,26.6667,0.09879,19,0.3167,84416.04,8.4416,26.3158,0.4671,8.8749,19,0.3167,290755.96,29.0756,42.1053,1.4408,27.3751,22,0.3667,-77979.66,-7.798,13.6364,-0.3148,-6.9258
c50ae712,bear,s28|s18|s100,3,0.0450684259,0.012982103,14.221,0.0,-15.5725,65,29.2308,0.097859,26,0.4,119792.23,11.9792,30.7692,0.488,12.687,18,0.2769,-129762.39,-12.9762,11.1111,-0.6532,-11.7577,21,0.3231,262654.63,26.2655,42.8571,1.1897,24.9831
942ab278,bear,s18|s66|s81,3,0.028482737,0.0114412147,6.5763,0.0,-13.5627,51,37.2549,0.097382,22,0.4314,28006.09,2.8006,31.8182,0.1262,2.7761,17,0.3333,160722.71,16.0723,52.9412,0.9695,16.4815,12,0.2353,-19547.88,-1.9548,25.0,-0.146,-1.7523
6dc22415,bear,s90|s37|s27,3,0.0585497231,0.0165950107,22.3187,0.0,-25.5557,85,28.2353,0.097314,18,0.2118,226473.47,22.6473,38.8889,1.2628,22.7303,23,0.2706,57905.37,5.7905,26.087,0.3008,6.9183,44,0.5176,87695.77,8.7696,25.0,0.2191,9.6412
96718e32,bear,s16|s23|s27,3,0.0266722805,0.0161399284,3.0336,0.0,-12.5246,45,44.4444,0.097104,10,0.2222,51415.28,5.1415,50.0,0.5266,5.2662,21,0.4667,-40620.31,-4.062,33.3333,-0.1869,-3.9253,14,0.3111,109099.75,10.91,57.1429,0.8324,11.6539
dbad20af,bear,s18|s28|s37,3,0.0782198678,0.009591798,27.2287,0.0,-19.8678,113,15.9292,0.097099,34,0.3009,283004.5,28.3005,20.5882,0.8487,28.8561,26,0.2301,19640.29,1.964,11.5385,0.054,1.4048,53,0.469,193733.45,19.3733,15.0943,0.3663,19.4128
13561d55,bear,s18|s90|s37,3,0.0430295666,0.0131092649,17.483,0.0,-20.0706,155,29.0323,0.096817,40,0.2581,24048.82,2.4049,25.0,0.0925,3.7018,40,0.2581,80642.09,8.0642,27.5,0.2329,9.3157,75,0.4839,379617.33,37.9617,32.0,0.4855,36.4137
5b599a85,bear,s28|s77|s52,3,0.049041996,0.0167171198,18.4849,0.0,-23.6266,116,31.0345,0.096163,21,0.181,177817.35,17.7817,38.0952,0.8334,17.5013,26,0.2241,-58337.56,-5.8338,23.0769,-0.1542,-4.009,69,0.5948,299720.11,29.972,31.8841,0.425,29.3219
