id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
5484c7e9,bear,s29|s81|s31|s56,4,0.0612007199,0.0117792938,1.6018,0.0,-2.7363,4,25.0,0.005856,1,0.25,-11766.92,-1.1767,0.0,-1.1779,-1.1779,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,35730.84,3.5731,33.3333,1.2547,3.7642,0.2025,0.0415,-4.0765,5,20.0,0.004858,1,0.2,-12292.43,-1.2292,0.0,-1.1779,-1.1779,3,0.6,36215.66,3.6216,33.3333,1.2547,3.7642,1,0.2,-11766.35,-1.1766,0.0,-1.1779,-1.1779
383bfcb1,bear,s61|s49|s31|s71|s13,5,0.0700438603,0.0137804041,2.2802,0.0,-6.1628,14,21.4286,0.015377,3,0.2143,-40005.42,-4.0005,0.0,-1.378,-4.1341,0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7857,90631.78,9.0632,27.2727,0.9081,9.9888,-7.2344,-1.0638,-8.8996,15,13.3333,-0.004691,1,0.0667,-13578.4,-1.3578,0.0,-1.378,-1.378,5,0.3333,12236.91,1.2237,20.0,0.2984,1.4922,9,0.6,-42326.85,-4.2327,11.1111,-0.4467,-4.0199
0518887e,bull,s60|s73,2,0.0267150331,0.0118307918,-1.7185,0.0,-4.084,4,25.0,0.00447,3,0.75,2800.32,0.28,33.3333,0.1018,0.3053,1,0.25,-11940.28,-1.194,0.0,-1.1831,-1.1831,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4663,1.8466,-0.0,1,100.0,0.006197,1,1.0,26687.73,2.6688,100.0,2.6715,2.6715,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
036f4c90,bull,s33|s94|s47|s63,4,0.0538352291,0.0120622027,-0.6089,0.0,-4.1517,5,20.0,0.004511,5,1.0,3753.08,0.3753,20.0,0.1117,0.5586,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414,0.6189,-2.7873,3,33.3333,0.006036,2,0.6667,40401.63,4.0402,50.0,2.0887,4.1773,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333,-12049.5,-1.205,0.0,-1.2062,-1.2062
4cc83eeb,bull,s30|s83|s92|s3,4,0.0193545722,0.0103060526,-4.6261,0.0,-5.0838,11,27.2727,0.010574,6,0.5455,26589.17,2.6589,50.0,0.4524,2.7146,1,0.0909,-10267.39,-1.0267,0.0,-1.0306,-1.0306,4,0.3636,-40864.85,-4.0865,0.0,-1.0306,-4.1224,-1.2283,-1.3711,-1.2283,1,0.0,-0.000172,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-10294.96,-1.0295,0.0,-1.0306,-1.0306
855fb7b9,bear,s19|s97|s62,3,0.0518124106,0.0157884164,2.5763,0.0,-5.241,6,33.3333,0.01135,4,0.6667,2845.95,0.2846,25.0,0.1112,0.4447,1,0.1667,-15972.07,-1.5972,0.0,-1.5788,-1.5788,1,0.1667,50834.8,5.0835,100.0,5.1812,5.1812,-3.5254,-1.9913,-3.5254,2,0.0,-0.000987,2,1.0,-31262.31,-3.1262,0.0,-1.5788,-3.1577,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dd38758f,bull,s64|s59|s92|s68|s46,5,0.0602420425,0.0128594258,-0.977,0.0,-11.8554,15,20.0,0.006158,9,0.6,24783.73,2.4784,22.2222,0.3385,3.0468,1,0.0667,-12951.49,-1.2951,0.0,-1.2859,-1.2859,5,0.3333,8260.92,0.8261,20.0,0.1761,0.8804,-0.3266,-0.0897,-5.8017,5,20.0,0.004129,3,0.6,31566.39,3.1566,33.3333,1.1508,3.4523,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,-25128.42,-2.5128,0.0,-1.2859,-2.5719
b9ac1645,bull,s82|s59|s26,3,0.0421498459,0.0177818929,-4.196,0.0,-19.6955,17,29.4118,0.004204,5,0.2941,-28865.94,-2.8866,20.0,-0.5796,-2.8978,3,0.1765,3336.03,0.3336,33.3333,0.2195,0.6586,9,0.5294,18823.49,1.8823,33.3333,0.2195,1.9758,1.9534,0.7189,-1.9743,2,50.0,0.006076,2,1.0,23513.63,2.3514,50.0,1.2184,2.4368,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
122304d8,bull,s48|s11|s26,3,0.0782122465,0.0165865175,5.4405,0.0,-8.9368,7,28.5714,0.011293,4,0.5714,116663.16,11.6663,50.0,3.0813,12.3251,1,0.1429,-15958.85,-1.5959,0.0,-1.6587,-1.6587,2,0.2857,-32829.1,-3.2829,0.0,-1.6587,-3.3173,-3.6758,-1.9949,-3.6758,2,0.0,-0.001029,2,1.0,-32831.77,-3.2832,0.0,-1.6587,-3.3173,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
7e90878b,bear,s28|s72|s26,3,0.0799068562,0.0184328064,4.794,0.0,-7.925,7,28.5714,0.011356,2,0.2857,-36452.05,-3.6452,0.0,-1.8433,-3.6866,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7143,97845.45,9.7845,40.0,2.0903,10.4515,-4.0442,-2.0037,-4.0442,2,0.0,-0.001132,2,1.0,-36450.64,-3.6451,0.0,-1.8433,-3.6866,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
