strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
bace0857,bear,s51|s23|s66|s31|s37,5,0.063818,0.0187,31.0175,0.0,-21.9691,51,35.2941,29.4513,0.0,-10.007,17,47.0588,0.077847,0.0,0.0832,0.0,0.0,0.9766,0.5376
0cbbd933,bear,s62|s16|s86|s67,4,0.044524,0.016482,29.1543,0.0,-12.9962,54,42.5926,2.9717,0.0,-12.7015,22,36.3636,0.036464,0.0003,0.0832,0.0,0.0,0.4575,0.5376
b5a5d6a3,bear,s52|s100|s98|s61,4,0.036403,0.017215,22.1919,0.0,-19.5319,92,44.5652,5.748,0.0,-11.2862,32,43.75,0.077045,0.0,0.0832,0.0,0.0,0.9666,0.5376
72a8843b,bear,s67|s51|s17|s89|s20,5,0.034824,0.014679,21.8043,0.0,-10.0633,57,45.614,6.1264,0.0,-4.9479,15,46.6667,0.044899,0.0,0.0832,0.0,0.0,0.5633,0.5376
9ab0c0d7,bear,s29|s101|s85|s81,4,0.051652,0.018543,36.7214,0.0,-14.8933,47,42.5532,1.1412,0.0,-10.5998,15,33.3333,0.02183,0.0006,0.0832,0.0,0.0,0.2739,0.5376
1c913d71,bear,s67|s98|s72|s20|s23,5,0.060473,0.015983,32.5729,0.0,-20.9743,74,32.4324,16.7623,0.0,-10.6847,26,34.6154,0.072197,0.0,0.0832,0.0,0.0,0.9058,0.5376
76f32bb8,bear,s13|s66|s89,3,0.02753,0.013771,13.2701,0.0,-12.3641,63,47.619,13.631,0.0,-7.4077,18,61.1111,0.077628,0.0,0.0832,0.0,0.0,0.9739,0.5376
19b02801,bear,s81|s51|s89|s98|s20,5,0.0302,0.01826,28.2249,0.0,-9.3313,40,60.0,5.7475,0.0,-6.3534,6,66.6667,0.024472,0.0001,0.0832,0.0,0.0,0.307,0.5376
3a1e37cb,bear,s89|s13|s26,3,0.026927,0.017254,8.713,0.0,-12.3895,67,50.7463,12.9599,0.0,-5.2153,19,63.1579,0.085754,51.2106,69.6116,0.0,0.0,1.0758,0.5376
5a32e1d6,bear,s29|s25|s76|s23|s81,5,0.076795,0.013583,45.6009,0.0,-21.4076,81,25.9259,9.6524,0.0,-10.7624,24,25.0,0.039035,0.0005,0.0832,0.0,0.0,0.4897,0.5376
