id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
c63fc731,bull,s41|s34,2,0.0391906236,0.0122013656,-0.5628,0.0,-7.2554,23,26.087,0.024952,2,0.087,-24531.85,-2.4532,0.0,-1.2201,-2.4403,4,0.1739,51661.27,5.1661,50.0,1.3495,5.3979,17,0.7391,-5227.69,-0.5228,23.5294,-0.0109,-0.1855,3.7269,1.7278,-6.1503,6,33.3333,0.011575,3,0.5,66538.87,6.6539,66.6667,2.206,6.618,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,-38227.64,-3.8228,0.0,-1.2201,-3.6604
8bc7e100,bull,s60|s3|s70|s40,4,0.0278381401,0.0164117771,-1.2379,0.0,-6.3224,15,40.0,0.028824,4,0.2667,-23332.66,-2.3333,25.0,-0.5349,-2.1397,1,0.0667,27739.55,2.774,100.0,2.7838,2.7838,10,0.6667,11306.66,1.1307,40.0,0.1288,1.2882,-2.2294,-6.9567,-7.3605,7,28.5714,0.00766,3,0.4286,38789.77,3.879,66.6667,1.3088,3.9265,1,0.1429,-16818.13,-1.6818,0.0,-1.6412,-1.6412,3,0.4286,-48959.68,-4.896,0.0,-1.6412,-4.9235
520c72bd,bull,s3|s64|s73|s40,4,0.035059698,0.0168273255,4.4942,0.0,-5.0056,8,50.0,0.024474,2,0.25,16284.26,1.6284,50.0,0.9116,1.8232,2,0.25,19432.22,1.9432,50.0,0.9116,1.8232,4,0.5,36165.09,3.6165,50.0,0.9116,3.6465,2.7661,1.4137,-3.7388,5,40.0,0.011985,2,0.4,17659.52,1.766,50.0,0.9116,1.8232,1,0.2,35500.26,3.55,100.0,3.506,3.506,2,0.4,-34871.1,-3.4871,0.0,-1.6827,-3.3655
4de5d5ae,bull,s54|s10|s27,3,0.0377041058,0.0109012288,0.8448,0.0,-7.1328,25,28.0,0.03299,9,0.36,-52208.78,-5.2209,11.1111,-0.5501,-4.9506,6,0.24,79939.97,7.994,50.0,1.3401,8.0409,10,0.4,35394.12,3.5394,30.0,0.368,3.6804,-1.5726,-2.5258,-6.3821,5,20.0,0.003456,2,0.4,26291.04,2.6291,50.0,1.3401,2.6803,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6,-32971.12,-3.2971,0.0,-1.0901,-3.2704
5dcc4485,bull,s60|s83|s36|s1|s93,5,0.018438615,0.0090405861,-10.4032,0.0,-10.9624,42,30.9524,0.01542,15,0.3571,447.72,0.0448,33.3333,0.0119,0.1787,5,0.119,-17531.76,-1.7532,20.0,-0.3545,-1.7724,22,0.5238,-7994.72,-0.7995,31.8182,-0.0297,-0.6538,-0.0425,0.1571,-4.948,10,40.0,0.020997,4,0.4,46321.09,4.6321,75.0,1.1569,4.6275,2,0.2,-18503.41,-1.8503,0.0,-0.9041,-1.8081,4,0.4,-8850.28,-0.885,25.0,-0.2171,-0.8683
5b4d4d5d,bear,s19|s85|s72|s80|s22,5,0.0207673424,0.0127149783,-1.3342,0.0,-4.1464,12,41.6667,0.025734,4,0.3333,15868.39,1.5868,50.0,0.4026,1.6105,4,0.3333,-18028.11,-1.8028,25.0,-0.4344,-1.7378,4,0.3333,15517.62,1.5518,50.0,0.4026,1.6105,-0.725,-1.6555,-3.5713,5,40.0,0.010639,2,0.4,7805.91,0.7806,50.0,0.4026,0.8052,1,0.2,-12750.28,-1.275,0.0,-1.2715,-1.2715,2,0.4,7720.11,0.772,50.0,0.4026,0.8052
db54ef9c,bull,s95|s5|s27,3,0.0417706234,0.0111953813,5.5388,0.0,-6.2804,17,29.4118,0.031127,5,0.2941,49672.79,4.9673,40.0,0.9991,4.9955,5,0.2941,48239.04,4.8239,40.0,0.9991,4.9955,7,0.4118,-26610.41,-2.661,14.2857,-0.3629,-2.5402,0.9661,0.8654,-4.7154,4,25.0,0.005177,2,0.5,29995.03,2.9995,50.0,1.5288,3.0575,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,-22798.72,-2.2799,0.0,-1.1195,-2.2391
61cf48f1,bull,s8|s36|s96|s54,4,0.0358736036,0.017698922,0.7393,0.0,-8.67,13,38.4615,0.024006,2,0.1538,16619.42,1.6619,50.0,0.9087,1.8175,4,0.3077,34658.94,3.4659,50.0,0.9087,3.6349,7,0.5385,-17456.92,-1.7457,28.5714,-0.2392,-1.6747,3.7946,9.4162,-4.0787,4,50.0,0.012235,2,0.5,72158.52,7.2159,100.0,3.5874,7.1747,1,0.25,-18278.93,-1.8279,0.0,-1.7699,-1.7699,1,0.25,-18525.28,-1.8525,0.0,-1.7699,-1.7699
99346f0a,bull,s83|s68|s64,3,0.0522369113,0.0083650702,11.3928,0.0,-8.36,15,26.6667,0.030147,4,0.2667,29277.63,2.9278,25.0,0.6785,2.7142,4,0.2667,23879.58,2.388,25.0,0.6785,2.7142,7,0.4667,64566.47,6.4566,28.5714,0.895,6.2648,3.4374,1.9459,-5.0556,4,25.0,0.005887,2,0.5,-16626.95,-1.6627,0.0,-0.8365,-1.673,1,0.25,51110.44,5.111,100.0,5.2237,5.2237,1,0.25,-8595.01,-0.8595,0.0,-0.8365,-0.8365
3ea3d8a7,bull,s74|s79|s41,3,0.0316242578,0.0104493762,-4.9895,0.0,-11.1072,34,26.4706,0.01777,13,0.3824,-53902.51,-5.3903,15.3846,-0.3977,-5.1695,4,0.1176,1644.14,0.1644,25.0,0.0069,0.0276,17,0.5,70139.74,7.014,35.2941,0.44,7.4802,3.8094,1.8206,-4.4629,7,42.8571,0.018259,2,0.2857,64253.77,6.4254,100.0,3.1624,6.3249,3,0.4286,10361.73,1.0362,33.3333,0.3575,1.0726,2,0.2857,-22083.96,-2.2084,0.0,-1.0449,-2.0899
5b9fb2de,bull,s30|s24|s27,3,0.0444499556,0.0123533155,1.5594,0.0,-9.4247,26,26.9231,0.030541,7,0.2692,-32827.73,-3.2828,14.2857,-0.4239,-2.967,6,0.2308,38893.25,3.8893,33.3333,0.6581,3.9487,13,0.5,63849.2,6.3849,30.7692,0.5125,6.662,2.3264,1.5756,-5.2983,4,25.0,0.005473,2,0.5,31428.36,3.1428,50.0,1.6048,3.2097,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,-25177.28,-2.5177,0.0,-1.2353,-2.4707
e575b8a5,bull,s59|s40|s1,3,0.0217301004,0.0120891695,-3.8064,0.0,-6.2737,17,35.2941,0.024424,9,0.5294,-41723.05,-4.1723,22.2222,-0.4574,-4.1164,2,0.1176,9033.94,0.9034,50.0,0.482,0.9641,6,0.3529,27845.03,2.7845,50.0,0.482,2.8923,1.172,1.5936,-3.6104,4,50.0,0.011509,2,0.5,43844.15,4.3844,100.0,2.173,4.346,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,-24938.07,-2.4938,0.0,-1.2089,-2.4178
3740cc9d,bear,s28|s90|s26,3,0.0342983826,0.0177307969,0.0614,0.0,-10.3597,13,38.4615,0.021983,3,0.2308,-3056.35,-0.3056,33.3333,-0.0388,-0.1163,2,0.1538,67432.57,6.7433,100.0,3.4298,6.8597,8,0.6154,-39193.59,-3.9194,25.0,-0.4724,-3.7788,-0.722,-0.7164,-7.661,8,37.5,0.013861,2,0.25,-35283.9,-3.5284,0.0,-1.7731,-3.5462,3,0.375,-1560.53,-0.1561,33.3333,-0.0388,-0.1163,3,0.375,48183.2,4.8183,66.6667,1.6955,5.0866
f6fcc014,bull,s53|s11|s9|s32,4,0.0280490069,0.0158966771,-6.0414,0.0,-7.8005,18,33.3333,0.018876,5,0.2778,-35667.43,-3.5667,20.0,-0.7108,-3.5538,4,0.2222,22738.63,2.2739,50.0,0.6076,2.4305,9,0.5,-12835.38,-1.2835,33.3333,-0.1248,-1.1233,2.4186,3.0973,-6.1164,6,50.0,0.016959,1,0.1667,28020.98,2.8021,100.0,2.8049,2.8049,3,0.5,40912.04,4.0912,66.6667,1.34,4.0201,2,0.3333,-33389.77,-3.339,0.0,-1.5897,-3.1793
04897044,bull,s9|s96|s5|s33|s30,5,0.0422429446,0.0195449974,1.9824,0.0,-9.406,14,35.7143,0.024319,1,0.0714,41855.93,4.1856,100.0,4.2243,4.2243,4,0.2857,-18976.88,-1.8977,25.0,-0.4098,-1.6392,9,0.6429,7060.66,0.7061,33.3333,0.1051,0.9459,2.4293,1.0435,-5.1315,5,40.0,0.011432,1,0.2,-19525.45,-1.9525,0.0,-1.9545,-1.9545,2,0.4,84244.81,8.4245,100.0,4.2243,8.4486,2,0.4,-40897.45,-4.0897,0.0,-1.9545,-3.909
d7cf9759,bull,s4|s96|s39|s60,4,0.0246988359,0.0112517661,-6.2672,0.0,-10.1654,29,31.0345,0.021772,10,0.3448,-42144.58,-4.2145,20.0,-0.4062,-4.0616,6,0.2069,5643.82,0.5644,33.3333,0.0732,0.4391,13,0.4483,31047.52,3.1048,38.4615,0.2575,3.348,-0.2226,-0.755,-7.23,9,33.3333,0.013936,2,0.2222,13074.14,1.3074,50.0,0.6724,1.3447,3,0.3333,38530.65,3.8531,66.6667,1.2715,3.8146,4,0.4444,-45902.61,-4.5903,0.0,-1.1252,-4.5007
df73d544,bull,s87|s58|s11,3,0.0365285382,0.0154733466,-0.9138,0.0,-7.3311,21,33.3333,0.031228,2,0.0952,19529.02,1.9529,50.0,1.0528,2.1055,6,0.2857,59188.69,5.9189,50.0,1.0528,6.3166,13,0.619,-46239.95,-4.624,23.0769,-0.3473,-4.5148,-0.8265,-1.3484,-5.4305,4,25.0,0.004432,1,0.25,-15457.87,-1.5458,0.0,-1.5473,-1.5473,1,0.25,35855.61,3.5856,100.0,3.6529,3.6529,2,0.5,-31149.25,-3.1149,0.0,-1.5473,-3.0947
