id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
8dea7d29,bull,s84|s78|s59,3,0.0443295715,0.0197381707,32.1841,0.0,-7.3736,28,53.5714,0.149705,-8.2899,0.0,-11.8204,6,16.6667,-0.002234
3161bc35,bull,s36|s24|s78|s73,4,0.0787815406,0.0186195703,29.2167,0.0,-16.6506,51,29.4118,0.15515,-11.3098,0.0,-11.3098,5,0.0,-0.007917
e52d887b,bull,s40|s14|s96|s54,4,0.0529728731,0.0156505753,24.5853,0.0,-7.9308,40,37.5,0.149639,-6.0896,0.0,-15.8945,10,20.0,-0.002408
96f11b83,bull,s9|s47|s32|s63|s54,5,0.0456769265,0.0157663781,28.6166,0.0,-12.9062,33,45.4545,0.139993,-1.7919,0.0,-9.4501,7,28.5714,0.007027
ff7e588d,bull,s73|s53|s58|s78,4,0.0621166858,0.0194215694,33.8353,0.0,-11.6139,35,40.0,0.15435,-11.1173,0.0,-11.1173,5,0.0,-0.007782
bad06f5f,bull,s73|s10|s21|s14,4,0.0711815121,0.0141414149,41.4911,0.0,-13.5604,31,35.4839,0.143676,-2.612,0.0,-5.3158,6,16.6667,0.002833
e3dbe4c3,bull,s96|s94|s87|s7,4,0.0725618855,0.0168907861,36.805,0.0,-32.5178,101,27.7228,0.132835,9.4068,0.0,-6.0549,4,50.0,0.013557
a7abbc17,bull,s15|s10|s48|s4,4,0.0649401858,0.0187164968,32.213,0.0,-21.9885,95,31.5789,0.157623,-12.2189,0.0,-15.7906,9,11.1111,-0.011325
bb25e00b,bull,s41|s34|s87|s21,4,0.0578497732,0.01609149,22.2172,0.0,-13.6173,51,33.3333,0.148017,-8.2286,0.0,-11.1155,15,20.0,-0.001878
951afad7,bull,s75|s93|s78,3,0.0728259079,0.0169572237,41.771,0.0,-7.2656,29,37.931,0.150267,-8.0817,0.0,-8.0817,4,0.0,-0.004526
eb0b439c,bull,s9|s68|s21|s58,4,0.0629722129,0.0162335826,37.3965,0.0,-8.2775,30,40.0,0.146852,-3.9898,0.0,-4.6251,2,0.0,-0.001193
eb9c4ffd,bull,s83|s21|s93|s4|s34,5,0.0645351755,0.0193111046,30.6353,0.0,-6.8398,34,38.2353,0.147375,-7.9127,0.0,-7.9127,7,14.2857,-0.001754
b25b5f76,bear,s25|s89|s86,3,0.0773364926,0.0183315635,35.9904,0.0,-16.5071,36,33.3333,0.139997,-1.0324,0.0,-17.0633,17,23.5294,0.005191
acce5c38,bull,s92|s21|s60|s14,4,0.078495322,0.010670025,50.3838,0.0,-6.0334,25,36.0,0.145717,-2.8996,0.0,-2.8996,2,0.0,-0.000812
945a2477,bull,s59|s34|s82|s21|s87,5,0.0438361151,0.01887154,16.7962,0.0,-10.9509,47,42.5532,0.152272,-12.1387,0.0,-13.5186,11,18.1818,-0.007604
a82e31ed,bull,s69|s39|s21|s59,4,0.0456097568,0.0179781379,32.3199,0.0,-6.7711,27,51.8519,0.142842,-4.6877,0.0,-8.4688,5,20.0,0.001584
8a54fd8d,bull,s59|s70|s21,3,0.0770111853,0.0191103086,45.7651,0.0,-24.3531,44,34.0909,0.186801,-22.5429,0.0,-23.9515,15,6.6667,-0.042608
b1c301bd,bull,s88|s36|s54|s73|s14,5,0.0658032599,0.0196986115,29.0984,0.0,-23.0804,66,33.3333,0.147152,-8.0116,0.0,-14.3633,14,21.4286,-0.003038
3866b164,bull,s83|s70|s21,3,0.0771873294,0.0179781492,43.465,0.0,-19.8256,38,34.2105,0.164931,-15.8723,0.0,-16.1992,12,8.3333,-0.020901
ab120c86,bull,s4|s59|s21,3,0.045592205,0.0168420735,15.3265,0.0,-10.0683,46,39.1304,0.136613,-4.5205,0.0,-10.0809,11,27.2727,0.007369
69d3dbf8,bull,s21|s93|s41|s58|s48,5,0.0709044813,0.0190900079,43.3974,0.0,-7.1972,26,42.3077,0.145039,-4.5429,0.0,-5.1745,2,0.0,-0.001348
ce81f699,bull,s88|s42|s47|s59|s15,5,0.0404799113,0.0196406027,22.2921,0.0,-12.2958,34,50.0,0.137551,-4.6677,0.0,-7.9995,7,28.5714,0.006026
befd32b6,bull,s21|s58|s68,3,0.0730273293,0.0116325417,44.1728,0.0,-10.3988,29,34.4828,0.144387,-3.0897,0.0,-3.0897,2,0.0,-0.000865
9886a754,bull,s41|s47|s78|s11,4,0.0457458102,0.019690634,17.1754,0.0,-17.5409,61,40.9836,0.13903,-7.2362,0.0,-10.9277,11,27.2727,0.00442
8c3b3a8d,bull,s48|s64|s21,3,0.0620426501,0.0186243839,23.783,0.0,-14.738,53,33.9623,0.152805,-11.9818,0.0,-12.9109,16,18.75,-0.009731
706a3cdf,bull,s94|s82|s73|s4|s83,5,0.0708956746,0.0188404031,28.2124,0.0,-22.3507,65,30.7692,0.138105,1.8623,0.0,-8.3756,3,33.3333,0.004939
b43392e4,bull,s34|s94|s54|s84,4,0.0507939846,0.0118549854,20.6002,0.0,-11.5146,50,32.0,0.143857,-3.1301,0.0,-6.4537,2,0.0,-0.001275
7b5b12ac,bull,s10|s92|s58|s38|s96,5,0.0693112925,0.0190924303,34.4838,0.0,-24.118,117,29.9145,0.155325,-12.1679,0.0,-15.5888,13,15.3846,-0.012814
e1b6476a,bull,s54|s65|s41|s83|s47,5,0.0454041739,0.0162120761,24.5341,0.0,-11.5024,34,44.1176,0.133268,-0.0454,0.0,-7.8016,6,33.3333,0.00917
427fb09f,bull,s96|s44|s54|s10,4,0.059869929,0.0184634359,33.8256,0.0,-16.9521,116,32.7586,0.182722,-18.5774,0.0,-26.3712,19,15.7895,-0.040301
fb4fc06b,bull,s88|s21|s44|s47|s10,5,0.0434957711,0.0194831417,13.1255,0.0,-14.8717,50,42.0,0.133887,-8.1599,0.0,-14.5563,22,31.8182,0.008424
80e2ea65,bull,s54|s44|s3|s94,4,0.0659376639,0.0171734836,20.8876,0.0,-11.0531,52,30.7692,0.142699,-2.1079,0.0,-5.4666,1,0.0,-0.000497
55917d7b,bull,s59|s43|s34|s94,4,0.0695828072,0.0149663199,29.9396,0.0,-22.6558,51,29.4118,0.140026,-1.2892,0.0,-11.1168,5,20.0,0.002149
84507102,bull,s15|s30|s68|s36|s54,5,0.0385132741,0.0136887758,14.6841,0.0,-12.075,59,38.9831,0.139461,-5.5155,0.0,-10.1039,9,22.2222,0.002573
