id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
7a957149,bear,s62|s100|s86|s29|s49,5,0.0303369524,0.0172325301,16.4519,0.0,-16.6972,80,50.0,0.165716
f003e3b7,bear,s67|s23|s89|s29|s13,5,0.0621481628,0.0158891159,24.6023,0.0,-9.724,56,32.1429,0.165666
b6a56aa5,bear,s25|s29|s71|s66|s28,5,0.0483663045,0.017914522,22.0067,0.0,-14.145,55,40.0,0.165592
c7943d47,bear,s81|s29|s19|s23,4,0.0763594771,0.0133705248,33.0993,0.0,-14.4391,67,25.3731,0.165199
5da612a3,bear,s66|s31|s23|s18|s98,5,0.0648885326,0.0179487619,32.2633,0.0,-20.794,58,32.7586,0.164947
0bfd6c5a,bear,s51|s100|s89|s80,4,0.0507693132,0.013192979,27.247,0.0,-14.0115,47,36.1702,0.164936
c4251bbb,bear,s67|s13|s89|s50,4,0.0212786818,0.0104937798,9.8286,0.0,-7.9553,48,52.0833,0.16483
5273772f,bear,s56|s85|s13|s89|s81,5,0.0581303229,0.0198123659,27.0037,0.0,-17.5698,63,36.5079,0.164829
bc174e47,bear,s62|s97|s49|s20|s86,5,0.0707696458,0.0113413429,35.203,0.0,-17.0013,72,25.0,0.164808
1c913d71,bear,s67|s98|s72|s20|s23,5,0.0604727536,0.015983168,32.5729,0.0,-20.9743,74,32.4324,0.164666
3292a61d,bear,s25|s90|s67|s51|s23,5,0.0388173487,0.0188790883,18.5742,0.0,-10.1515,44,47.7273,0.164581
b633815c,bear,s67|s16|s81,3,0.0752173112,0.0156650724,36.7752,0.0,-20.9514,71,26.7606,0.164528
053d70d2,bull,s79|s83,2,0.0450633356,0.0169435238,20.1077,0.0,-11.4257,61,39.3443,0.164187
bace0857,bear,s51|s23|s66|s31|s37,5,0.0638182751,0.0186997018,31.0175,0.0,-21.9691,51,35.2941,0.164045
a92b99b1,bull,s38|s54|s63|s75,4,0.0384746557,0.0182846534,24.2172,0.0,-9.804,37,51.3514,0.163918
b5a5d6a3,bear,s52|s100|s98|s61,4,0.036403028,0.0172145185,22.1919,0.0,-19.5319,92,44.5652,0.163867
65f363b5,bear,s80|s51|s23|s31|s66,5,0.0387155368,0.0165300051,18.2648,0.0,-12.7063,70,42.8571,0.163512
d9844eb9,bear,s29|s62|s86|s13|s49,5,0.0776621591,0.0184465943,34.6197,0.0,-20.0589,81,28.3951,0.163487
47e34cf3,bear,s28|s81|s23|s13|s85,5,0.0769849164,0.0172621529,35.8304,0.0,-22.4057,62,29.0323,0.163201
ff161d9a,bear,s62|s100|s76|s13|s19,5,0.0768890498,0.0190600708,38.5708,0.0,-27.4014,56,30.3571,0.16315
10219584,bear,s62|s86|s23|s25,4,0.0427968935,0.0143947619,30.276,0.0,-24.2352,89,38.2022,0.163005
5afd0877,bull,s60|s73|s88|s83,4,0.0607710877,0.0168478896,37.2699,0.0,-12.132,35,40.0,0.162879
107d0f5a,bull,s59|s55|s73,3,0.0352804922,0.0167097632,19.1888,0.0,-8.1862,41,48.7805,0.162801
3e5bbaff,bull,s74|s48|s38|s9,4,0.0633420058,0.0119886338,40.6221,0.0,-25.486,133,25.5639,0.162722
38e3b3ef,bear,s100|s16|s51|s72,4,0.0394773166,0.0158718321,27.6343,0.0,-22.3962,146,39.726,0.162527
d42aa0ca,bull,s33|s30|s48|s21,4,0.0746116529,0.0193873728,31.2533,0.0,-16.3626,97,28.866,0.162523
d9be2842,bull,s21|s93|s59|s7,4,0.0780200103,0.0189441676,36.6169,0.0,-18.4134,43,32.5581,0.162455
fe409b0b,bear,s66|s81|s98|s90|s85,5,0.070700739,0.0160448172,28.77,0.0,-14.2564,50,30.0,0.162311
6e2dd61e,bear,s62|s49|s90|s81|s85,5,0.0778049239,0.0154238072,32.4167,0.0,-16.0733,52,26.9231,0.162216
7cc41e12,bull,s63|s10|s53|s21,4,0.0299887434,0.015202957,13.4177,0.0,-12.1235,58,48.2759,0.162128
937de901,bull,s73|s59|s53|s12,4,0.0512067197,0.0171563594,27.3216,0.0,-20.1417,61,37.7049,0.161976
51bedd3d,bear,s62|s89|s100,3,0.0316611157,0.0191164573,18.3783,0.0,-20.5142,92,50.0,0.161971
6556918b,bear,s66|s97|s16|s86|s62,5,0.0689088765,0.0156853622,30.1588,0.0,-16.4369,53,30.1887,0.161891
3089b037,bear,s66|s71|s19|s89|s76,5,0.0401775744,0.0125114,24.3514,0.0,-11.6422,43,41.8605,0.161732
23776a77,bear,s81|s22|s50|s89,4,0.0475665302,0.0187751652,27.1911,0.0,-9.4096,37,45.9459,0.161596
519c43ed,bull,s38|s59|s2|s74,4,0.0480876721,0.0170107556,27.6622,0.0,-19.3357,127,36.2205,0.161303
ee04282e,bear,s81|s71|s50|s23|s22,5,0.0761295704,0.0111856181,47.9429,0.0,-11.2732,32,31.25,0.161089
3723a0cd,bear,s81|s101|s97|s13|s89,5,0.0696109358,0.0111002582,33.6502,0.0,-14.3575,82,23.1707,0.16104
38203adc,bear,s100|s62|s77|s13,4,0.0536166152,0.0194320955,26.9618,0.0,-16.4069,45,40.0,0.160764
43729212,bear,s16|s62|s28|s49|s86,5,0.0509206865,0.0142040756,29.5839,0.0,-20.7053,69,34.7826,0.160568
7623ce5a,bear,s66|s72|s23|s25|s81,5,0.0711562987,0.0162849699,36.8873,0.0,-23.6074,86,27.907,0.160448
d9011f7a,bear,s61|s76|s23|s37,4,0.0601073509,0.0187193076,27.2573,0.0,-17.8033,63,34.9206,0.160381
4e97c9c3,bull,s59|s40|s4|s48,4,0.0605640446,0.0170213517,31.2157,0.0,-13.1152,41,36.5854,0.160124
5f173b65,bear,s66|s22|s86|s98|s77,5,0.0669494037,0.015219685,31.5589,0.0,-17.2454,47,31.9149,0.160029
f5a553e9,bear,s62|s100|s22|s16|s49,5,0.0231269265,0.0151213354,8.1614,0.0,-11.8336,59,54.2373,0.159857
