,time,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,sma_10,sma_20,sma_50,sma_200,ema_9,ema_21,ema_50,ema_200,macd,macd_signal,macd_hist,adx,adx_pos,adx_neg,ichimoku_conversion,ichimoku_base,ichimoku_a,ichimoku_b,psar,psar_up,psar_down,aroon_up,aroon_down,aroon_ind,cci,dpo,vortex_pos,vortex_neg,vortex_diff,trix,mass_index,kst,kst_signal,kst_diff,rsi_14,rsi_7,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,williams_r,roc_9,roc_21,tsi,ultimate_osc,kama,ppo,ppo_signal,ppo_hist,pvo,pvo_signal,pvo_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_pct,bb_hband_ind,bb_lband_ind,atr_14,atr_7,kc_upper,kc_middle,kc_lower,kc_width,kc_pct,kc_hband_ind,kc_lband_ind,dc_upper,dc_middle,dc_lower,dc_width,dc_pct,ulcer_index,obv,vwap,mfi,force_index_13,eom,eom_signal,vpt,nvi,cmf,adi,wma_20,wma_50,rma_14,rma_20,vwma_20,vwma_50,hull_ma_9,hull_ma_20,tema_9,tema_21,gd_10,gd_20,t3_10,t3_20,supertrend,supertrend_direction,wvf,wvf_upper,wvf_lower,wvf_range_high,wvf_range_low,wvf_alert1,wvf_alert2,wt1,wt2,wt_diff,wt1_norm,wt_overbought,wt_oversold,wt_ob_mild,wt_os_mild,wt_cross_up,wt_cross_down,ut_trailing_stop,ut_pos,ut_atr,ut_n_loss,ut_buy,ut_sell,ut_bar_buy,ut_bar_sell,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal,IB_IsIB,IB_BoxHigh,IB_BoxLow,IB_GreenArrow,IB_RedArrow,fib_236,fib_382,fib_5,fib_618,fib_786,fib_high,fib_low,delta_normalized,candle_body,candle_body_pct,upper_wick,lower_wick,candle_range,is_bullish,close_vs_sma20,close_vs_ema21,ema9_vs_ema21,return_1,return_3,return_5,return_10,volume_sma_20,volume_ratio,volume_std_20,squeeze
0,2026-03-29 21:00:00,2001.3,2004.31,2000.47,2001.37,3676.65,2000.9330682373047,2004.31,2000.47,2001.8625,1998.4679999999996,,,,1999.255395505546,,,,,,,0.0,0.0,0.0,2001.4,,,2000.0549999999998,1993.6629173741994,1993.6629173741994,,,,,,,,,,,,,,,63.22274058753881,62.97125022230166,56.77485832045304,,,,-43.22514167954696,0.2519610887924889,,,,1998.0684753988876,,,,,,,,,,,,0.0,0.0,4.912142857142856,4.920619681407907,2002.2480952380954,,1992.4238095238095,,0.9106199408656614,0.0,0.0,,,,,,0.12057206698006069,9474.249999999998,1998.4751660856973,49.97566911295812,9644.97106127424,164497.57251845047,,65.10504880232816,997.2992579233936,,-1449.9389225804393,,,1996.6426206158715,1995.9725289039898,,,2003.3150740740741,,,,,,,,1987.7665146999998,1,,,,,,False,False,,,,,False,False,False,False,False,False,1999.92182749904,0,4.871777753199803,4.871777753199803,False,False,True,False,2003.5234000577273,2000.4170083988652,2001.9702042282963,1.0,0,0,True,2009.76,1996.05,False,False,,,,,,,,67.02226560748676,0.06999999999993634,0.003497726477786256,2.9400000000000546,0.8299999999999272,3.839999999999918,1,,,,3.49772647778579e-05,-0.00193492083281388,0.0032835042760750444,0.0017669082609217401,,,,0
1,2026-03-29 21:15:00,2001.37,2004.59,2000.67,2003.34,2685.03,2001.3977841186525,2004.59,2000.67,2002.4925,1999.1679999999997,,,,2000.072316404437,,,,,,,0.0,0.0,0.0,2001.4,,,2000.0549999999998,1994.3068006792314,1994.3068006792314,,,,,,,1.1080384009170363,0.8773463246883515,0.23069207622868482,,,-42.3963376909693,-42.3963376909693,0.0,66.87342111631675,68.30813750142951,66.92426584234907,,,,-33.07573415765093,0.3054214816446651,,,,1998.4180459819604,,,,,,,,,,,,0.0,0.0,4.841275510204069,4.777674012635328,2002.5506666666665,,1992.8586666666667,,1.0814417388911892,1.0,0.0,,,,,,0.12323012249570262,12159.279999999999,1998.9045007385914,51.813892829106294,9022.762209663646,35038.71465123288,44396.76980548178,67.74799293559686,998.2809252503292,,-477.3005042131598,,,1997.121004857595,1996.3409024587902,,,2003.3852592592593,,,,,,,,1988.2928632300002,1,,,,,,False,False,,,,,False,False,False,False,False,False,1999.92182749904,0,4.776599977879807,4.776599977879807,False,False,True,False,2003.5234000577273,2000.4170083988652,2001.9702042282963,1.0,0,0,True,2009.76,1996.05,False,False,,,,,,,,1349.364565982377,1.9700000000000273,0.09843257368702577,1.25,0.6999999999998181,3.9199999999998454,1,,,,0.0009843257368702396,0.0013195381616433188,0.003491336776248799,0.0035064167426390735,,,,0
2,2026-03-29 21:30:00,2003.34,2007.1,2002.87,2003.57,6579.73,2001.9451420593264,2007.1,2001.9451420593264,2004.2199999999998,1999.801,,,,2000.7718531235496,,,,,,,0.0,35.70238698796635,9.213752858281488,2001.4,,,2000.0549999999998,1994.9249286520621,1994.9249286520621,,,,,,,1.1753125449058743,0.827561431240121,0.3477511136657533,,,-40.69497579081632,-41.54565674089281,0.8506809500764874,67.28176924588533,68.918322919309,68.1092220504893,63.93611540443047,,,-31.89077794951071,0.333012839773244,,,,1998.7261922752903,,,,,,,,,,,,0.0,0.0,4.797612973760922,4.699434867973141,2002.9377083333334,,1993.3227083333334,,1.065760963771873,1.0,0.0,,,,,,0.12408576311095797,18739.01,1999.732187217044,58.907034035961125,7949.987308283143,151399.06956667884,67903.0857269686,68.50340035520573,998.2809252503292,,-4879.342088137377,,,1997.5816473677667,1996.7023573358506,,,2003.6849629629633,,,,,,,,1990.812576907,1,,,,,,False,False,,,,,False,False,False,False,False,False,1999.92182749904,0,4.721939980091829,4.721939980091829,False,False,True,False,2003.5234000577273,2000.4170083988652,2001.9702042282963,1.0,0,0,True,2009.76,1996.05,False,False,,,,,,,,357.76309684216307,0.2300000000000182,0.011480827018879381,3.5299999999999727,0.4700000000000273,4.230000000000018,1,,,,0.00011480827018872652,0.0011342627292258989,-0.0008378007729710202,0.00316937373575521,,,,0
3,2026-03-29 21:45:00,2003.57,2006.29,2003.12,2005.62,3153.88,2003.082571029663,2006.29,2003.082571029663,2004.6499999999999,2000.6709999999998,,,,2001.7414824988398,,,,,,,0.0,34.02006265883653,8.779593635221673,2001.615,,,2000.0549999999998,1995.5183315059796,1995.5183315059796,,,,,,,1.1878770045608353,0.8359570398705332,0.3519199646903022,,,-38.86746941006079,-40.65292763061547,1.7854582205546805,70.74345563415537,74.10314543311647,76.54390934844147,70.52579908042661,,,-23.45609065155852,0.5640879074594985,,,,1999.3191534586174,,,,,,,,,,,,0.0,0.0,4.681354904206576,4.4809441725484165,2003.2460784313726,,1993.823725490196,,1.2519457277229644,1.0,0.0,,,,,,0.12273957616626775,21892.89,2000.3505843522842,63.952931946715836,7737.91112138553,-28143.11261049672,67034.79691280001,71.73036721935328,999.3023399734301,,-3058.6479556453774,,,1998.1558154129264,1997.148239469058,,,2004.654037037037,,,,,,,,1990.9988192163,1,,,,,,False,False,,,,,False,False,False,False,False,False,2001.0532540179172,0,4.5667459820826535,4.5667459820826535,False,False,True,False,2004.9211333525757,2000.282180988025,2002.6016571703003,1.0,0,0,True,2009.76,1996.05,False,False,,,,,,,,2039.5753936782755,2.0499999999999545,0.10231736350613926,0.6700000000000728,0.4500000000000455,3.1700000000000728,1,,,,0.0010231736350614362,0.0021235453714205654,0.0024591393012445284,0.004356709332371755,,,,0
4,2026-03-29 22:00:00,2005.62,2005.62,1986.5,1991.28,21020.38,2003.8662855148314,2005.62,1986.5,1997.2549999999999,2000.3619999999999,,,,1999.649185999072,,,,,,,0.0,26.04758591964165,27.092609073864836,1998.13,,,1998.13,2009.76,,2009.76,,,,,,0.9282608695652185,0.9409207161125333,-0.01265984654731478,,,-37.55616774359582,-39.87873765886056,2.3225699152647366,39.36674590449967,31.38161425461864,20.55030094582964,55.06781078158679,,,-79.44969905417035,-0.1774596204168779,,,,1999.2069267997526,,,,,,,,,,,,0.0,0.0,5.7126866967632415,6.572237862184342,2003.8205555555553,,1992.7972222222222,,-0.1376373349460791,0.0,1.0,,,,,,0.22711262185034303,872.5099999999984,1999.223259500831,45.88160616078872,-36429.254638812155,-786343.5389845411,-23067.098768927746,-78.5634318053874,999.3023399734301,,-13568.837955645378,,,1997.6646857405747,1996.854827495605,,,2001.391296296296,,,,,,,,1990.9988192163,1,,,,,,False,False,,,,,False,False,False,False,False,False,1997.3020713838744,-1,6.022071383874377,6.022071383874377,False,True,False,True,2000.0249159188027,1994.2807269960083,1997.1528214574055,-1.0,0,1,False,,,False,True,,,,,,,,-15765.284999175456,-14.339999999999918,-0.7149908756394491,0.0,4.779999999999973,19.11999999999989,0,,,,-0.007149908756394541,-0.006019946689029276,-0.005006745615349972,-0.00154936145248874,,,,0
5,2026-03-29 22:15:00,1991.28,1997.28,1990.62,1993.49,8492.34,2000.5606427574157,2000.5606427574157,1990.62,1993.1675,2000.229,,,,1998.4173487992578,,,,,,,0.0,23.942816998596868,24.903397307960383,1998.13,,,1998.13,2009.2948,,2009.2948,,,,,,0.968879407704856,1.0124231396662067,-0.04354373196135064,,,-36.28503483321081,-39.15999709373061,2.8749622605198013,43.52405613004731,37.82636786277628,30.05159071367159,42.38193366931423,,,-69.94840928632841,-0.14426183523093825,,,,1999.1641635846113,,,,,,,,,,,,0.0,0.0,5.78035193270873,6.584775310443733,2003.6435087719299,,1992.499298245614,,0.08889833443531706,0.0,0.0,,,,,,0.2780375732472385,9364.849999999999,1999.1406697008676,47.645957564675676,-28543.922347553234,-165473.8270017482,-32155.386984323453,-69.13830254179891,1000.4114045807887,,-14741.953991681203,,,1997.3664939019623,1996.6865861208246,,,1996.8225185185183,,,,1998.2580358957925,,,,1977.98843729467,1,,,,,,False,False,,,,,False,False,False,False,False,False,1997.3020713838744,-1,6.085864245486948,6.085864245486948,False,False,False,True,2000.0249159188027,1994.2807269960083,1997.1528214574055,-1.0,0,0,True,2005.62,1986.5,False,False,,,,,,,,2818.028738315623,2.2100000000000364,0.1109838897593526,3.7899999999999636,0.6600000000000819,6.660000000000082,1,,,,0.0011098388975934181,-0.005031019629960443,-0.0039373029474809584,-0.0006667268224701539,,,,0
6,2026-03-29 22:30:00,1993.49,1994.4,1962.63,1965.78,75594.9,1996.8640713787079,1996.8640713787079,1962.63,1979.075,1997.17,1996.25,,,1991.8898790394062,,,,,,,0.0,16.91938725014183,43.44218607519944,1984.865,,,1986.1950000000002,2008.838904,,2008.838904,,,,-342.7673432675868,-1.4300000000000637,0.702180285818981,1.0278490289483324,-0.32566874312935146,,,-36.19893862668383,-38.66648734922281,2.467548722538986,22.600173746351757,15.934234878079806,6.683640992997818,19.09517755083301,,,-93.31635900700218,-1.9683331255454444,,,,1994.868410322313,,,,,,,2012.649773169163,1996.25,1979.850226830837,1.6430580507614705,-0.4289762634428946,0.0,1.0,7.6367553660866765,10.182664551808912,2003.763333333333,1996.8813333333333,1989.9993333333332,0.6892748091857852,-1.7596144531628457,0.0,1.0,2009.76,1986.1950000000002,1962.63,2.360926737633056,0.06683640992997818,0.599239021523858,-66230.04999999999,1987.3173273141672,24.34829270457432,-323714.03044076025,-648681.2602437392,-83013.15072876545,-1119.9259558533295,1000.4114045807887,-0.3906730457728407,-75346.363906696,1995.7350476190472,,1995.1103157661078,1995.1412568147832,1985.1046952294678,,1984.445851851852,,,,1988.9496439943398,,,,2004.4821657913174,-1,,,,,,False,False,,,,,False,False,False,False,False,False,1974.4342778209382,-1,8.654277820938251,8.654277820938251,False,False,False,True,1983.1929191010033,1975.2802423320027,1979.236580716503,-1.0,0,0,False,,,False,True,,,,,,,,-65934.3619431561,-27.710000000000036,-1.390024529844646,0.9100000000000819,3.1499999999998636,31.769999999999982,0,-1.5263619286161565,,,-0.013900245298446468,-0.019864181649564716,-0.018748689688220632,-0.015322810901786665,9643.1485,7.839234250099954,16340.458308258345,0
7,2026-03-29 22:45:00,1965.78,1976.43,1936.39,1972.74,107187.31,1987.969535689354,1987.969535689354,1936.39,1962.835,1993.9189999999999,1995.1864999999998,,,1988.0599032315251,1992.883444005945,,,,,,0.0,12.101356327285483,49.73327002625897,1971.745,,,1973.075,2006.9905478399999,,2006.9905478399999,,,,-359.2595281566963,1.1835000000000946,0.5909495447388237,1.1563633874169914,-0.5654138426781677,,,-35.21787932866178,-38.17382906057124,2.955949731909456,31.50688228498278,28.124036040526732,49.543410113125205,28.759547273264868,,,-50.456589886874795,-1.3975108711950834,,,,1991.5530276666805,,,,,,,2014.5247763192583,1995.1864999999998,1975.8482236807413,1.938493100194745,-0.08036454825205575,0.0,1.0,9.951272839937626,14.447998187264776,2003.9934999999998,1995.2545000000002,1986.5155000000002,0.8759784779334971,-0.7881622611283041,0.0,1.0,2009.76,1973.075,1936.39,3.6773504632273677,0.4954341011312521,0.7422318418472971,40957.26000000001,1976.8316124480043,13.69550125012195,-170894.35786350822,-825735.9943075351,-153439.41875150107,-740.420783555302,1000.4114045807887,0.04733307410880957,12084.643700696295,1993.496,,1993.5124360685288,1994.0211939740439,1980.4706829718339,,1973.1351851851857,,,,1983.9426826720664,,,,1991.7924492121856,-1,,,,,,False,False,,,,,False,False,False,False,False,False,1974.4342778209382,-1,11.792850038844424,11.792850038844424,False,False,False,True,1983.1929191010033,1975.2802423320027,1979.236580716503,-1.0,0,0,True,1994.4,1962.63,False,False,,,,,,,,18631.959979554762,6.960000000000036,0.35405793120288315,3.6900000000000546,29.389999999999873,40.039999999999964,1,-1.1250326723842503,-1.0107687966665082,-0.24203827820075144,0.003540579312028891,-0.009310594190671262,-0.015387533253143126,-0.016212442338860433,14762.1095,7.260975133669073,27184.178249008914,0
8,2026-03-29 23:00:00,1972.74,1994.16,1972.35,1985.3,48677.99,1975.402267844677,1994.16,1972.35,1981.1375,1992.3790000000001,1994.8145,,,1987.50792258522,1992.1940400054045,,,,,,0.0,22.005056972080244,42.61472940501098,1971.745,,,1973.075,2002.7545149695998,,2002.7545149695998,,,,-106.87879577248702,10.435500000000047,0.8724492941248995,1.0280500585660561,-0.15560076444115667,,,-33.52537668560248,-37.59277251370014,4.067395828097659,44.024938972471155,44.93463427760511,66.66212348371259,40.96305819661187,,,-33.33787651628741,-0.7994803377804427,-0.43680824068084095,,,1991.3041655404732,,,,,,,2014.6076023086325,1994.8145,1975.0213976913674,1.984455427673357,0.2596511185654221,0.0,0.0,10.798324779942094,15.499712731941262,2004.4175000000002,1994.8094999999998,1985.2015,0.9633000043362712,0.0051259367194034355,0.0,0.0,2009.76,1973.075,1936.39,3.6780362284312598,0.6666212348371259,0.788716190344352,89635.25,1977.8254589521096,27.399443186574132,-59138.656111578865,1202780.661239305,-31531.40988631412,-430.4987693010148,1006.7808031034195,0.06882620508270368,21213.16177038884,1992.5544285714286,,1992.9258334922054,1993.5851342753417,1981.0100896414674,,1969.7354814814819,,,,1983.812115748162,,,,1991.7924492121856,-1,1.6588386633559686,,,,,False,False,,,,,False,False,False,False,False,False,1972.50543496504,1,12.79456503496,12.79456503496,True,False,True,False,1984.5976397003344,1973.427689113713,1979.0126644070237,-1.0,0,0,True,1994.4,1962.63,False,False,,,,,,,,28032.80854525262,12.559999999999945,0.6366779200502827,8.860000000000127,0.39000000000010004,21.810000000000173,1,-0.47696164229806826,-0.34605263678963094,-0.23522394536286037,0.006366779200502881,-0.004108372753312106,-0.010131530399577149,-0.007697305942920063,16984.7175,2.8659876150427586,28079.85364367952,0
9,2026-03-29 23:15:00,1985.3,1993.71,1980.01,1982.27,18887.17,1978.2698839223385,1993.71,1978.2698839223385,1985.3225000000002,1990.4759999999999,1994.2954999999997,,,1986.460338068176,1991.2918545503678,,,,,,0.0,20.062480335874813,38.85275879046433,1971.745,,,1973.075,1998.7726440714239,,1998.7726440714239,,,,-83.18229891879062,6.404500000000326,0.9222324936445573,1.0149641784146055,-0.09273168477004823,,,-31.924141050689325,-36.962924573365605,5.03878352267628,42.029309512923696,42.15943575752371,62.53237017854702,59.579301258461605,,,-37.46762982145298,-0.9543462728031255,-0.5254072282385072,,,1990.8443094632682,,,,,,,2014.819274969532,1994.2954999999997,1973.7717250304675,2.0582481351968425,0.20703488958898394,0.0,0.0,11.005587295660519,15.242610913092518,2004.4938333333334,1994.4403333333332,1984.3868333333332,1.0081524959132326,-0.10527842708177453,0.0,1.0,2009.76,1973.075,1936.39,3.6789934089506744,0.6253237017854703,0.8469104741229259,70748.08,1978.1105545763473,31.869750565044953,-58865.72310992467,261492.32521336133,-5882.336284187936,-459.32470245973025,1005.2442364216066,0.030730468748247655,8557.37924484135,1991.3597142857145,,1992.1647025284765,1993.0193775615744,1980.939463176797,,1972.15337037037,1982.046208225108,,,1982.9074679479238,,,,1948.2015161381298,1,1.276911877623872,,,,,False,False,,,,,False,False,False,False,False,False,1972.50543496504,1,12.885108531464004,12.885108531464004,False,False,True,False,1984.5976397003344,1973.427689113713,1979.0126644070237,-1.0,0,0,True,1994.4,1962.63,False,False,,,,,,,,-4177.235408454165,-3.0299999999999727,-0.15262177000956895,8.410000000000082,2.259999999999991,13.700000000000045,0,-0.6029948921812108,-0.45306540725065947,-0.24263226262645093,-0.0015262177000956445,0.0083885277091027,-0.00452472781326585,-0.009508819267476154,17719.343999999997,1.0659068416979771,27919.36241310102,0
