,time,open,high,low,close,volume
0,1770595200000,70306.1171875,70582.296875,70306.1171875,70568.59375,119382016
1,1770596100000,70544.078125,70715.546875,70376.53125,70459.1328125,600686592
2,1770597000000,70402.4453125,70552.828125,70191.4765625,70191.4765625,181030912
3,1770597900000,70205.5546875,70469.53125,70151.875,70464.6171875,84566016
4,1770598800000,70465.1484375,70593.0,70275.09375,70372.125,63590400
5,1770599700000,70349.3359375,70852.828125,70301.2265625,70741.1171875,183189504
6,1770600600000,70650.8671875,70728.7421875,70140.9921875,70176.640625,354103296
7,1770601500000,70200.6015625,70375.0625,70057.1484375,70335.8125,685109248
8,1770602400000,70320.203125,70419.484375,70186.1640625,70331.4453125,128368640
9,1770603300000,70308.5234375,70423.6328125,70295.5703125,70391.75,338653184
10,1770604200000,70486.796875,70884.7578125,70423.09375,70851.4453125,166432768
11,1770605100000,70849.8984375,70849.8984375,70573.4453125,70588.921875,153686016
12,1770606000000,70565.2109375,70792.1796875,70565.2109375,70697.4765625,420077568
13,1770606900000,70697.21875,70895.4140625,70682.421875,70762.6796875,328781824
14,1770607800000,70763.3828125,71186.59375,70763.3828125,71186.59375,331587584
15,1770608700000,71100.28125,71358.8046875,71042.9140625,71210.2890625,516538368
16,1770609600000,71276.8828125,71292.8671875,71009.6015625,71009.6015625,675827712
17,1770610500000,70973.5078125,71215.71875,70973.5078125,71184.625,272637952
18,1770611400000,71191.421875,71191.421875,70904.1640625,70963.171875,207282176
19,1770612300000,70983.3828125,71055.3359375,70914.6796875,70986.0703125,282886144
20,1770613200000,70954.515625,70954.515625,70804.0390625,70809.3984375,162578432
21,1770614100000,70784.546875,70982.640625,70784.546875,70945.3515625,163762176
22,1770615000000,70962.90625,71038.953125,70902.84375,70933.1953125,192131072
23,1770615900000,70924.9375,70954.7890625,70804.25,70911.234375,185171968
24,1770616800000,70951.203125,70951.203125,70718.4296875,70830.7734375,220475392
25,1770617700000,70842.5390625,70842.5390625,70344.0390625,70381.921875,1660567552
26,1770618600000,70375.328125,70503.71875,70375.328125,70503.71875,492208128
27,1770619500000,70494.0859375,70659.59375,70487.359375,70612.078125,535855104
28,1770620400000,70609.859375,70719.5859375,70471.3203125,70719.5859375,860512256
29,1770621300000,70758.6953125,70781.7890625,70615.609375,70689.03125,0
30,1770622200000,70621.234375,70647.671875,70340.8828125,70340.8828125,198565888
