,time,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,sma_10,sma_20,sma_50,sma_200,ema_9,ema_21,ema_50,ema_200,macd,macd_signal,macd_hist,adx,adx_pos,adx_neg,ichimoku_conversion,ichimoku_base,ichimoku_a,ichimoku_b,psar,psar_up,psar_down,aroon_up,aroon_down,aroon_ind,vortex_pos,vortex_neg,cci,rsi_14,rsi_7,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,williams_r,roc_9,roc_21,ultimate_osc,at_line,at_trend_up,at_trend_down,at_buy_signal,at_sell_signal,at_confirmed_buy,at_confirmed_sell,at_price_above,at_price_below,ce_long_stop,ce_short_stop,ce_direction,ce_buy_signal,ce_sell_signal,ce_is_long,ce_is_short,ce_price_above_stop,ce_price_below_stop,qqe_rsi_ma,qqe_fast_tl,qqe_trend,qqe_long,qqe_short,qqe_is_bull,qqe_is_bear,qqe_rsi_above50,ht_line,ht_trend,ht_atr_high,ht_atr_low,ht_buy_signal,ht_sell_signal,ht_is_bull,ht_is_bear,rmi_rsi_mfi,rmi_positive,rmi_negative,rmi_buy,rmi_sell,rmi_rwma,rmi_band,rmi_above_pmom,rmi_below_nmom,fvg_bull,fvg_bear,fvg_in_bull,fvg_in_bear,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,lsw_bull_sweep,lsw_bear_sweep,lsw_bull_outbreak,lsw_bear_outbreak,ob_bull_created,ob_bear_created,ob_in_bull,ob_in_bear,ob_bull_top,ob_bull_bot,ob_bear_top,ob_bear_bot,smc_sw_bull_bos,smc_sw_bull_choch,smc_sw_bear_bos,smc_sw_bear_choch,smc_sw_trend,smc_int_bull_bos,smc_int_bull_choch,smc_int_bear_bos,smc_int_bear_choch,smc_int_trend,smc_eq_high,smc_eq_low,smc_sw_is_bull,smc_sw_is_bear,smc_int_is_bull,smc_int_is_bear,ict_mss_bull,ict_mss_bear,ict_bos_bull,ict_bos_bear,ict_ms_trend,ict_fvg_bull,ict_fvg_bear,ict_fvg_in_bull,ict_fvg_in_bear,ict_ob_in_bull,ict_ob_in_bear,ict_ob_bull_breaker,ict_ob_bear_breaker,ict_liq_buy_swept,ict_liq_sell_swept,ict_vim_bull,ict_vim_bear,ict_displacement_up,ict_displacement_dn,ict_kz_ny,ict_kz_london_open,ict_kz_london_close,ict_kz_asian,ict_nwog_present,ict_ndog_present,ict_price_in_nwog,ict_price_in_ndog,bb_upper,bb_middle,bb_lower,bb_width,bb_pct,bb_hband_ind,bb_lband_ind,atr_14,atr_7,kc_upper,kc_middle,kc_lower,kc_width,kc_pct,kc_hband_ind,kc_lband_ind,dc_upper,dc_middle,dc_lower,dc_width,dc_pct,obv,vwap,mfi,adi,hull_ma_9,tema_9,vwma_20,wma_20,supertrend,supertrend_direction,tema_21,hull_ma_20,tsi,cmf,wvf,wvf_upper,wvf_lower,wvf_range_high,wvf_range_low,wvf_alert1,wvf_alert2,wt1,wt2,wt_diff,wt1_norm,wt_overbought,wt_oversold,wt_ob_mild,wt_os_mild,wt_cross_up,wt_cross_down,ut_trailing_stop,ut_pos,ut_atr,ut_n_loss,ut_buy,ut_sell,ut_bar_buy,ut_bar_sell,RF_Filter,RF_UpperBand,RF_LowerBand,RF_Trend,RF_BuySignal,RF_SellSignal,IB_IsIB,IB_BoxHigh,IB_BoxLow,IB_GreenArrow,IB_RedArrow,fib_236,fib_382,fib_5,fib_618,fib_786,fib_high,fib_low,delta_normalized,candle_body,candle_range,is_bullish,volume_sma_20,volume_ratio,return_1,squeeze,gainzy_color,gainzy_trend,gainzy_strong_bull,gainzy_any_bull,gainzy_momentum,gainzy_strong_bear,gainzy_any_bear,gainzy_bull_flip,gainzy_bear_flip
0,2023-08-18,26610.1,26820.0,25572.9,26040.5,183621.321,26260.875,26820.0,25572.9,26260.875,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26196.45,26040.5,25267.3,26820.0,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,91.26476474512428,76.52731883347032,1,0,0,1,0,0,25572.9,0,26812.305,24333.495000000003,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,0.0,27391.566666666666,26139.333333333336,24897.36666666667,5.539697518426895,0.4583166279100845,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,183621.321,26427.67194211027,45.303907501859925,-45923.73508130891,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,0.0,0,26040.5,25777.915329004336,100.0,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,0.0,0,477.59999999999854,477.59999999999854,False,False,True,False,26196.45,26196.45,26196.45,0.0,0,0,False,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,-83867.13530712531,-569.5999999999985,1247.0999999999985,0,105120.77679999999,0.8893888710304888,0.0018548030951786032,0,black,0,0,0,0,0,0,0,0
1,2023-08-19,26040.5,26263.3,25785.7,26088.8,64301.32,26260.875,26263.3,25785.7,26044.575,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26196.45,26088.8,25267.3,26820.0,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,91.26476474512428,76.52731883347032,1,0,0,1,0,0,25572.9,0,26812.305,24333.495000000003,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,0.0,26957.549999999996,26139.333333333336,25232.85,5.539697518426895,0.4962892097176333,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,247922.641,26427.67194211027,45.303907501859925,-28609.76993893049,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26024.5,1,26052.511495116458,25777.915329004336,100.0,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25611.2,0,477.59999999999854,477.59999999999854,False,False,True,False,25925.47485777778,25928.33304888889,25922.61666666667,-1.0,0,1,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,6502.834497473744,48.29999999999927,477.59999999999854,1,105120.77679999999,0.8893888710304888,0.0018548030951786032,0,black,0,0,0,0,0,0,0,0
2,2023-08-20,26088.8,26307.0,25940.2,26176.5,50738.24,26152.725,26307.0,25940.2,26128.125,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26196.45,26820.0,25267.3,26820.0,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,91.26476474512428,76.52731883347032,1,0,0,1,0,0,25572.9,0,26803.57895,24342.221050000004,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,0.0,26807.71111111111,26139.333333333336,25413.377777777776,5.539697518426895,0.5473025739102721,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,298660.881,26427.67194211027,45.303907501859925,-13974.803221373313,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26123.6,1,26084.21805204563,25777.915329004336,100.0,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25709.98,0,466.5199999999987,466.5199999999987,False,False,True,False,26086.04655680423,26093.777682962962,26078.3154306455,1.0,1,0,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,12131.253129738045,87.70000000000073,366.7999999999993,1,105120.77679999999,0.8893888710304888,0.00336159578056483,0,black,0,0,0,0,0,0,0,0
3,2023-08-21,26176.5,26279.7,25794.2,26112.9,82183.661,26140.425,26279.7,25794.2,26090.824999999997,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26196.45,26802.404,25267.3,26802.404,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,91.26476474512428,76.52731883347032,1,0,0,1,0,1,25572.9,0,26796.1271605,24349.672839500003,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,0.0,26742.725,26139.333333333336,25454.225,5.539697518426895,0.5111951882033394,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,216477.22,26427.67194211027,45.303907501859925,11738.272176979146,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26123.6,1,26094.469192367655,25777.915329004336,97.16118361515,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25709.98,0,468.4179999999988,468.4179999999988,False,False,True,False,25902.79117217808,25916.67720080766,25888.9051435485,-1.0,0,1,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,-10765.97495280971,-63.599999999998545,485.5,0,105120.77679999999,0.8893888710304888,-0.0024296601913930127,0,black,0,0,0,0,0,0,0,0
4,2023-08-22,26112.9,26127.4,25267.3,26044.0,118180.893,26115.625,26127.4,25267.3,25887.9,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26043.65,26762.075839999998,25267.3,26762.075839999998,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,88.45120118810749,76.52731883347032,1,1,0,1,0,1,25572.9,0,26792.495888895,24353.304111105004,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,0.0,26728.78,26139.333333333336,25353.94,5.539697518426895,0.5019202234441835,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,98296.327,26427.67194211027,45.303907501859925,107000.23371273046,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26036.95,1,26085.576327318104,25777.915329004336,91.9713986606039,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25709.98,0,507.58619999999917,507.58619999999917,False,False,True,False,25976.438155244257,26001.559066935886,25951.317243552632,1.0,1,0,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,-9467.112577247626,-68.90000000000146,860.1000000000022,0,105120.77679999999,0.8893888710304888,-0.002638542636015151,0,black,0,0,0,0,0,0,0,0
5,2023-08-23,26044.0,26823.8,25801.0,26422.9,152407.643,26001.7625,26823.8,25801.0,26272.925000000003,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26045.55,25267.3,25267.3,28140.8,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,88.60163092426268,76.73533204479293,1,0,0,1,0,1,25572.9,0,26790.52793000605,24355.272069993953,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,0.0,26835.988888888893,26139.333333333336,25349.355555555554,5.539697518426895,0.7221312884444339,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,250703.97000000003,26427.67194211027,45.303907501859925,139931.4901685386,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26312.4,1,26172.232671222522,25777.915329004336,88.84390234665796,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25863.79242,0,559.1075799999992,559.1075799999992,False,False,True,False,26236.168487088547,26282.453022311962,26189.883951865137,1.0,1,0,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,56459.96864748123,378.90000000000146,1022.7999999999993,1,105120.77679999999,0.8893888710304888,0.014548456458301384,0,black,0,0,0,0,0,0,0,0
6,2023-08-24,26422.9,26573.6,25834.0,26161.6,109799.866,26137.34375,26573.6,25834.0,26248.025,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26045.55,25267.3,25267.3,28140.8,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,52.84586501343411,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,82.53428292968894,76.73533204479293,1,0,0,1,0,1,25572.9,0,26785.74765070599,24360.052349294012,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,742.7857142857138,26849.32380952381,26139.333333333336,25363.75238095238,5.539697518426895,0.5370644613264091,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,140904.10400000005,26427.67194211027,45.303907501859925,127401.59740163735,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26203.8,-1,26178.463192152973,25777.915329004336,77.65403313542757,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25863.79242,0,577.1568219999991,577.1568219999991,False,False,True,False,26021.429053538533,26090.230123122023,25952.627983955044,-1.0,0,1,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,-38792.19170600539,-261.3000000000029,739.5999999999985,0,105120.77679999999,0.8893888710304888,-0.0098891491849874,0,black,0,0,0,0,0,0,0,0
7,2023-08-25,26161.6,26301.3,25755.0,26045.9,104937.761,26192.684375,26301.3,25755.0,26065.949999999997,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26045.55,25298.43,25298.43,28140.8,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,44.7528103568882,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,76.37073380843643,64.39271084287925,1,0,0,1,0,1,25572.9,0,26779.08217419893,24366.71782580107,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,714.7163265306117,26815.704166666666,26139.333333333336,25379.254166666666,5.539697518426895,0.46409261257498374,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,35966.34300000005,26427.67194211027,45.303907501859925,134220.7270291321,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26028.15,1,26154.233508489186,25777.915329004336,66.74100945010322,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25863.79242,0,574.0711397999991,574.0711397999991,False,False,True,False,25969.515523501235,26060.676707707342,25878.354339295132,-1.0,0,1,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,-22224.599940833763,-115.69999999999709,546.2999999999993,0,105120.77679999999,0.8893888710304888,-0.004422512384563482,0,black,0,0,0,0,0,0,0,0
8,2023-08-26,26045.9,26115.0,25974.3,26008.5,24080.421,26129.317187499997,26129.317187499997,25974.3,26035.925,26118.7,26157.670000000002,26459.966,37649.1265,26103.810252032006,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26045.55,25328.9374,25328.9374,28140.8,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,42.30925664224487,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,71.61119899437986,64.39271084287925,1,0,0,1,0,1,25572.9,0,26768.42735245694,24377.372647543063,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,632.7139941690958,26744.32592592593,26139.333333333336,25436.21481481481,5.539697518426895,0.4374897364025034,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,11885.922000000053,26427.67194211027,45.303907501859925,121846.77935109391,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,26044.65,-1,26124.37886771858,25777.915329004336,58.19561532106691,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25863.79242,0,530.7340258199993,530.7340258199993,False,False,True,False,25969.515523501235,26060.676707707342,25878.354339295132,-1.0,0,1,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,-6400.907927460053,-37.400000000001455,140.70000000000073,0,105120.77679999999,0.8893888710304888,-0.0014359265757758477,0,black,0,0,0,0,0,0,0,0
9,2023-08-27,26008.5,26170.0,25957.3,26085.4,53404.483,26082.62109375,26170.0,25957.3,26055.300000000003,26118.7,26157.670000000002,26459.966,37649.1265,26100.12820162561,26101.71101352637,26617.291277807282,40321.113495461344,-125.09279711736235,72.68756354440205,144.1130866719423,0.0,0.0,0.0,26045.55,26497.1,26107.9,26045.55,25358.834651999998,25358.834651999998,28140.8,44.0,96.0,-52.0,0.9759228089756168,1.0607555287531165,-100.02159530400397,45.36645545013351,48.99045756260783,22.857142857142833,20.574212632677945,1.0,0.9865635110152676,-77.14285714285717,0.1724237245828669,-0.551448704901974,51.54084230611811,28450.185714285715,0,0,0,0,0,0,0,0,24952.413437221287,28499.686562778712,1,0,0,1,0,0,0,69.23687710565453,64.39271084287925,1,0,0,1,0,1,25572.9,0,26758.59907893237,24387.200921067633,0,0,1,0,47.07713315529952,0,0,0,0,26269.916535663568,312.486,0,0,0,0,0,0,43379.4,42479.3,26969.5,26145.0,0,0,0,0,0,0,0,0,26020.0,25543.1,26133.0,25783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27110.88813264331,26157.670000000002,25204.451867356693,7.288249547022415,0.2858989532290309,0.0,0.0,0.0,572.7119950020823,26698.253333333334,26139.333333333336,25478.413333333334,5.539697518426895,0.49759531304652044,0.0,0.0,28140.8,26704.05,25267.3,10.98530564840064,0.16780929180441995,65290.40500000006,26427.67194211027,45.303907501859925,132768.71169947277,26030.573333333334,25486.62226173474,26313.965672151124,26118.87095238095,24233.890000000003,1,26118.460033025636,25777.915329004336,52.56207061594197,0.08790962601976292,7.474749662486543,9.752534653903702,0.7756735747769907,8.74221192234663,0.582990814539476,False,False,1.888039939084468,-0.028829572969894413,6.024968106912477,-0.3199164186482064,False,False,False,False,False,False,25863.79242,0,498.93062323799944,498.93062323799944,False,False,True,False,25958.091428333206,26077.158902569114,25839.023954097294,-1.0,0,1,True,26820.0,25572.9,False,False,27709.4612,27163.669400000002,26722.550000000003,26281.4306,25653.396200000003,28591.7,24853.4,19307.96776060534,76.90000000000146,212.70000000000073,1,105120.77679999999,0.8893888710304888,0.0029567256858336055,0,black,0,0,0,0,0,0,0,0
