,time,open,high,low,close,volume
0,1775405700000,2054.49,2056.53,2053.84,2055.54,1714.71
1,1775406000000,2055.54,2056.15,2054.83,2055.35,911.55
2,1775406300000,2055.35,2056.5,2053.55,2053.61,1397.8
3,1775406600000,2053.61,2058.51,2053.08,2056.65,2339.61
4,1775406900000,2056.65,2057.39,2055.06,2055.42,1245.41
5,1775407200000,2055.42,2055.6,2052.83,2055.01,1446.11
6,1775407500000,2055.01,2055.01,2052.15,2052.33,1279.13
7,1775407800000,2052.33,2053.14,2049.73,2049.93,3816.11
8,1775408100000,2049.93,2051.13,2049.13,2050.94,1918.44
9,1775408400000,2050.94,2051.74,2046.9,2049.67,6169.73
10,1775408700000,2049.67,2056.39,2049.67,2054.16,10755.21
11,1775409000000,2054.16,2056.13,2054.13,2055.08,3307.43
12,1775409300000,2055.08,2055.22,2051.7,2051.91,1637.2
13,1775409600000,2051.91,2052.64,2050.42,2052.64,1465.87
14,1775409900000,2052.64,2055.8,2052.11,2055.13,2225.55
15,1775410200000,2055.13,2055.6,2054.02,2054.34,879.96
16,1775410500000,2054.34,2056.83,2053.84,2056.53,2952.84
17,1775410800000,2056.53,2059.95,2055.41,2059.95,4044.78
18,1775411100000,2059.95,2061.41,2057.46,2059.95,4542.26
19,1775411400000,2059.95,2061.39,2057.5,2060.08,4339.54
20,1775411700000,2060.08,2061.42,2059.75,2061.41,3033.41
21,1775412000000,2061.41,2062.18,2058.0,2059.99,2839.51
22,1775412300000,2059.99,2060.11,2058.32,2058.7,898.6
23,1775412600000,2058.7,2059.85,2055.0,2057.59,4091.54
24,1775412900000,2057.59,2058.65,2056.77,2056.95,683.11
25,1775413200000,2056.95,2057.8,2056.7,2057.58,527.86
26,1775413500000,2057.58,2057.59,2056.4,2056.52,669.65
27,1775413800000,2056.52,2063.12,2056.52,2061.5,2272.7
28,1775414100000,2061.5,2064.78,2060.8,2063.56,2012.94
29,1775414400000,2063.56,2066.33,2062.15,2063.88,11577.71
30,1775414700000,2063.88,2065.51,2063.11,2063.11,2180.58
31,1775415000000,2063.11,2063.11,2061.09,2061.86,1066.89
32,1775415300000,2061.86,2062.1,2060.6,2062.1,698.93
33,1775415600000,2062.1,2062.11,2060.89,2060.95,1162.05
34,1775415900000,2060.95,2062.75,2060.95,2062.16,1185.46
35,1775416200000,2062.16,2063.05,2060.89,2062.19,809.53
36,1775416500000,2062.19,2066.9,2061.6,2066.63,2054.56
37,1775416800000,2066.63,2069.0,2064.96,2068.28,6004.92
38,1775417100000,2068.28,2068.89,2064.86,2065.44,1484.27
39,1775417400000,2065.44,2065.47,2062.88,2063.31,1088.35
40,1775417700000,2063.31,2063.4,2058.28,2059.05,4155.33
41,1775418000000,2059.05,2059.86,2056.98,2058.05,2596.14
42,1775418300000,2058.05,2058.4,2056.94,2056.95,1254.31
43,1775418600000,2056.95,2058.99,2056.94,2058.85,1565.55
44,1775418900000,2058.85,2061.11,2058.84,2061.06,1929.07
45,1775419200000,2061.06,2063.4,2061.01,2061.38,1815.31
46,1775419500000,2061.38,2062.62,2060.44,2061.5,568.42
47,1775419800000,2061.5,2062.16,2060.6,2061.77,1422.65
48,1775420100000,2061.77,2062.16,2061.77,2061.86,223.38
49,1775420400000,2061.86,2065.49,2061.86,2065.01,815.7
50,1775420700000,2065.01,2065.58,2063.9,2064.76,992.4
51,1775421000000,2064.76,2065.19,2064.21,2065.0,729.26
52,1775421300000,2065.0,2074.5,2064.2,2071.8,11980.25
53,1775421600000,2071.8,2072.3,2065.82,2066.38,4521.75
54,1775421900000,2066.38,2069.58,2065.8,2069.43,1901.44
55,1775422200000,2069.43,2069.58,2067.1,2068.26,1716.48
56,1775422500000,2068.26,2068.8,2066.99,2067.95,908.07
57,1775422800000,2067.95,2068.13,2064.27,2066.53,3716.65
58,1775423100000,2066.53,2067.15,2065.79,2066.49,466.58
59,1775423400000,2066.49,2066.89,2057.67,2059.59,6605.06
60,1775423700000,2059.59,2061.31,2058.71,2059.06,1149.18
61,1775424000000,2059.06,2060.2,2058.5,2059.88,655.86
62,1775424300000,2059.88,2059.94,2056.77,2059.5,1626.04
63,1775424600000,2059.5,2059.88,2058.2,2058.27,952.57
64,1775424900000,2058.27,2059.06,2057.3,2058.08,1230.06
65,1775425200000,2058.08,2060.25,2055.37,2058.97,1458.92
66,1775425500000,2058.97,2062.17,2057.8,2061.92,1391.67
67,1775425800000,2061.92,2064.8,2061.53,2064.29,1394.86
68,1775426100000,2064.29,2064.57,2058.1,2059.05,2382.92
69,1775426400000,2059.05,2066.73,2055.4,2065.24,8097.88
70,1775426700000,2065.24,2065.63,2059.47,2061.87,3623.08
71,1775427000000,2061.87,2062.09,2048.51,2053.72,13830.68
72,1775427300000,2053.72,2056.01,2052.81,2053.4,1948.0
73,1775427600000,2053.4,2054.2,2048.67,2051.14,5972.47
74,1775427900000,2051.14,2052.93,2048.79,2052.86,1495.6
75,1775428200000,2052.86,2057.99,2051.5,2054.35,3454.39
76,1775428500000,2054.35,2060.52,2052.9,2060.34,2351.0
77,1775428800000,2060.34,2071.37,2058.91,2069.38,13205.05
78,1775429100000,2069.38,2079.91,2068.41,2074.48,21196.41
79,1775429400000,2074.48,2081.0,2074.48,2075.66,17899.32
80,1775429700000,2075.66,2088.0,2075.4,2085.01,24337.63
81,1775430000000,2085.01,2092.23,2080.93,2083.29,19563.06
82,1775430300000,2083.29,2099.49,2082.86,2087.76,32345.76
83,1775430600000,2087.76,2097.13,2087.51,2096.57,17000.94
84,1775430900000,2096.57,2117.6,2096.14,2111.03,52651.37
85,1775431200000,2111.03,2115.75,2106.23,2107.79,11161.64
86,1775431500000,2107.79,2111.72,2106.5,2107.4,4886.41
87,1775431800000,2107.4,2123.04,2106.81,2120.7,23223.51
88,1775432100000,2120.7,2121.23,2113.89,2114.79,6126.61
89,1775432400000,2114.79,2115.8,2108.62,2110.39,8119.82
90,1775432700000,2110.39,2115.77,2109.09,2110.25,7233.19
91,1775433000000,2110.25,2113.29,2107.55,2109.25,6542.86
92,1775433300000,2109.25,2110.46,2107.91,2109.53,1811.08
93,1775433600000,2109.53,2134.72,2109.53,2119.99,36445.9
94,1775433900000,2119.99,2125.7,2119.0,2119.81,7260.52
95,1775434200000,2119.81,2120.29,2115.28,2119.05,5835.91
96,1775434500000,2119.05,2125.0,2118.16,2119.89,5612.81
97,1775434800000,2119.89,2123.95,2114.52,2122.91,5171.76
98,1775435100000,2122.91,2124.0,2119.38,2122.35,4695.88
99,1775435400000,2122.35,2127.77,2119.9,2120.32,7127.67
100,1775435700000,2120.32,2123.46,2119.34,2122.38,2014.75
101,1775436000000,2122.38,2131.78,2121.51,2127.74,8866.62
102,1775436300000,2127.74,2129.03,2123.8,2123.86,4037.47
103,1775436600000,2123.86,2125.39,2120.97,2120.98,1634.64
104,1775436900000,2120.98,2123.03,2120.52,2121.24,1923.05
105,1775437200000,2121.24,2124.16,2116.8,2117.3,5077.97
106,1775437500000,2117.3,2121.37,2115.36,2117.97,4617.29
107,1775437800000,2117.97,2120.0,2114.75,2114.89,4004.42
108,1775438100000,2114.89,2117.07,2113.0,2114.48,4022.71
109,1775438400000,2114.48,2116.25,2111.5,2113.54,4008.75
110,1775438700000,2113.54,2119.62,2113.54,2119.01,2713.95
111,1775439000000,2119.01,2119.98,2112.57,2115.68,6240.15
112,1775439300000,2115.68,2119.78,2114.99,2117.95,3821.71
113,1775439600000,2117.95,2117.99,2113.97,2114.8,1664.32
114,1775439900000,2114.8,2117.82,2114.55,2114.92,1792.46
115,1775440200000,2114.92,2117.91,2114.0,2114.19,1211.3
116,1775440500000,2114.19,2116.29,2113.3,2114.34,1176.07
117,1775440800000,2114.34,2118.54,2113.65,2118.25,1423.34
118,1775441100000,2118.25,2121.84,2116.5,2120.95,3092.24
119,1775441400000,2120.95,2146.41,2119.69,2132.53,34636.88
120,1775441700000,2132.53,2139.06,2131.05,2136.9,9156.91
121,1775442000000,2136.9,2141.04,2133.05,2134.0,4995.06
122,1775442300000,2134.0,2135.72,2129.62,2134.19,4773.44
123,1775442600000,2134.19,2140.98,2134.19,2137.95,5533.62
124,1775442900000,2137.95,2138.28,2133.1,2135.21,3348.52
125,1775443200000,2135.21,2135.21,2130.78,2132.99,3580.12
126,1775443500000,2132.99,2136.68,2132.58,2133.22,3003.99
127,1775443800000,2133.22,2134.29,2131.51,2132.59,1505.96
128,1775444100000,2132.59,2133.8,2132.15,2132.76,1441.32
129,1775444400000,2132.76,2134.52,2132.4,2132.72,3118.36
130,1775444700000,2132.72,2134.52,2130.88,2132.58,1417.66
131,1775445000000,2132.58,2137.34,2130.4,2130.99,3617.13
132,1775445300000,2130.99,2133.3,2128.45,2128.45,6800.61
133,1775445600000,2128.45,2136.73,2127.5,2134.97,8146.03
134,1775445900000,2134.97,2136.87,2134.45,2134.87,2450.21
135,1775446200000,2134.87,2136.92,2133.47,2133.8,1679.84
136,1775446500000,2133.8,2135.35,2132.8,2133.04,2377.57
137,1775446800000,2133.04,2133.05,2129.7,2130.88,1557.76
138,1775447100000,2130.88,2132.49,2129.64,2130.24,1588.51
139,1775447400000,2130.24,2131.24,2125.97,2126.43,8367.07
140,1775447700000,2126.43,2128.63,2126.23,2128.6,2501.94
141,1775448000000,2128.6,2133.47,2128.6,2133.23,2925.99
142,1775448300000,2133.23,2133.48,2125.84,2126.05,1778.84
143,1775448600000,2126.05,2128.1,2124.71,2127.94,2275.86
144,1775448900000,2127.94,2128.12,2124.8,2124.8,1609.32
145,1775449200000,2124.8,2126.41,2124.26,2125.25,2895.13
146,1775449500000,2125.25,2127.29,2125.16,2126.56,1411.7
147,1775449800000,2126.56,2127.79,2125.63,2127.79,3544.95
148,1775450100000,2127.79,2134.0,2127.79,2132.61,5532.81
149,1775450400000,2132.61,2133.98,2131.36,2131.95,4269.5
150,1775450700000,2131.95,2133.3,2130.01,2130.31,872.66
151,1775451000000,2130.31,2131.39,2129.33,2131.29,860.4
152,1775451300000,2131.29,2131.7,2129.75,2130.27,591.93
153,1775451600000,2130.27,2131.48,2129.02,2130.3,1133.1
154,1775451900000,2130.3,2131.2,2129.11,2131.06,699.25
155,1775452200000,2131.06,2131.07,2129.25,2130.28,1203.71
156,1775452500000,2130.28,2132.29,2129.75,2131.2,861.33
157,1775452800000,2131.2,2133.89,2130.83,2131.48,1833.58
158,1775453100000,2131.48,2131.48,2128.11,2130.05,1032.32
159,1775453400000,2130.05,2131.73,2129.41,2130.76,1011.57
160,1775453700000,2130.76,2130.8,2129.16,2129.93,1154.23
161,1775454000000,2129.93,2131.12,2128.61,2130.76,799.61
162,1775454300000,2130.76,2132.2,2127.6,2127.79,1325.48
163,1775454600000,2127.79,2130.15,2127.79,2129.66,1095.77
164,1775454900000,2129.66,2130.88,2129.15,2130.6,656.24
165,1775455200000,2130.6,2131.26,2126.9,2127.85,5195.28
166,1775455500000,2127.85,2134.22,2127.61,2132.01,2869.0
167,1775455800000,2132.01,2138.58,2132.01,2135.85,8927.09
168,1775456100000,2135.85,2135.86,2132.96,2133.29,2371.72
169,1775456400000,2133.29,2133.8,2123.0,2125.6,11464.49
170,1775456700000,2125.6,2125.86,2119.4,2120.6,10179.67
171,1775457000000,2120.6,2123.41,2119.26,2120.81,3907.52
172,1775457300000,2120.81,2122.4,2120.59,2121.54,2189.12
173,1775457600000,2121.54,2124.45,2120.3,2122.58,2881.02
174,1775457900000,2122.58,2124.72,2121.97,2123.86,1152.77
175,1775458200000,2123.86,2129.66,2123.65,2126.73,9720.15
176,1775458500000,2126.73,2127.9,2125.99,2126.51,1838.64
177,1775458800000,2126.51,2127.58,2121.88,2122.89,4702.49
178,1775459100000,2122.89,2123.7,2121.84,2121.89,1757.25
179,1775459400000,2121.89,2125.09,2121.89,2124.14,3096.41
180,1775459700000,2124.14,2129.97,2124.14,2129.24,2771.41
181,1775460000000,2129.24,2134.87,2129.24,2134.8,3792.7
182,1775460300000,2134.8,2136.07,2132.95,2133.72,5382.53
183,1775460600000,2133.72,2134.19,2130.01,2132.15,5663.2
184,1775460900000,2132.15,2136.64,2131.23,2132.15,3674.72
185,1775461200000,2132.15,2133.09,2130.01,2130.3,1979.89
186,1775461500000,2130.3,2132.61,2129.34,2132.51,3025.17
187,1775461800000,2132.51,2142.68,2131.91,2137.84,10822.66
188,1775462100000,2137.84,2137.95,2133.65,2134.3,2719.66
