,time,open,high,low,close,volume
0,1712667600000,70737.2890625,70916.328125,70066.421875,70066.421875,0
1,1712671200000,70001.90625,70417.9375,68761.9140625,69215.4765625,1272700928
2,1712674800000,69314.234375,69317.625,68574.9609375,69157.8828125,884977664
3,1712678400000,69214.6796875,69270.125,68534.5625,68621.5703125,523964416
4,1712682000000,68583.140625,68897.0234375,68212.921875,68818.703125,789463040
5,1712685600000,68800.96875,68953.6328125,68771.9765625,68875.6796875,0
6,1712689200000,68863.90625,69112.484375,68707.171875,69071.0234375,65212416
7,1712692800000,69019.953125,69151.96875,68979.8828125,69075.3515625,0
8,1712696400000,69125.3984375,69224.3984375,68944.8515625,69212.6171875,118841344
9,1712700000000,69185.125,69394.734375,69152.9765625,69320.7890625,0
10,1712703600000,69312.078125,69312.078125,68895.1484375,69148.71875,93663232
11,1712707200000,69137.8046875,69271.75,69034.6484375,69118.390625,0
12,1712710800000,69103.359375,69205.7421875,68641.4921875,69197.328125,0
13,1712714400000,69214.6875,69568.5546875,68540.40625,68719.8515625,486952960
14,1712718000000,68685.65625,69171.859375,68672.7421875,69171.859375,397799424
15,1712721600000,69155.484375,69186.84375,69030.125,69148.765625,0
16,1712725200000,69139.875,69371.2109375,69139.875,69253.046875,0
17,1712728800000,69254.078125,69468.5078125,69237.8359375,69385.140625,0
18,1712732400000,69385.6796875,69497.359375,69317.5390625,69329.46875,0
19,1712736000000,69330.640625,69330.640625,68866.5546875,68987.28125,0
20,1712739600000,69008.3203125,69154.71875,68921.921875,69086.8046875,0
21,1712743200000,69139.7734375,69177.6875,68680.40625,68961.15625,190863360
22,1712746800000,68957.6015625,69107.2734375,68869.5546875,69042.609375,0
23,1712750400000,69041.359375,69143.796875,67603.671875,67954.1796875,2339186688
24,1712754000000,67953.5703125,68169.484375,67574.65625,68161.9921875,822976512
25,1712757600000,68219.203125,68948.40625,68019.2421875,68665.2890625,0
26,1712761200000,68702.390625,68752.5625,68340.8828125,68634.34375,0
27,1712764800000,68651.3125,69534.7265625,68607.453125,69534.7265625,307261440
28,1712768400000,69534.1328125,69887.015625,69208.390625,69352.09375,158089216
29,1712772000000,69338.6484375,69387.21875,69085.1875,69269.3125,461746176
30,1712775600000,69311.515625,69967.5546875,69250.5,69967.5546875,544915456
