time,open,high,low,close,volume
1777762800000,1.3957,1.3958,1.3904,1.3906,1984096.8
1777763700000,1.3906,1.3953,1.3902,1.395,2099487.5
1777764600000,1.395,1.396,1.3945,1.3947,1366246.4
1777765500000,1.3947,1.3953,1.3917,1.393,2104424.0
1777766400000,1.393,1.3938,1.3906,1.3909,988883.4
1777767300000,1.3909,1.3921,1.3891,1.3914,1293738.7
1777768200000,1.3914,1.392,1.389,1.389,520939.9
1777769100000,1.389,1.3896,1.3874,1.3887,1638537.9
1777770000000,1.3887,1.3887,1.3848,1.3861,2170027.0
1777770900000,1.3861,1.3866,1.3841,1.3859,822308.5
1777771800000,1.3859,1.386,1.3826,1.3836,1326298.9
1777772700000,1.3836,1.3841,1.3827,1.3831,335728.0
1777773600000,1.3831,1.3842,1.3808,1.3822,1993757.1
1777774500000,1.3822,1.3826,1.381,1.3815,544497.2
1777775400000,1.3815,1.3828,1.3813,1.3821,325800.3
1777776300000,1.3821,1.3831,1.3819,1.3826,524908.6
1777777200000,1.3826,1.3829,1.3811,1.3813,558811.7
1777778100000,1.3813,1.3825,1.3813,1.3817,194613.0
1777779000000,1.3817,1.3834,1.3817,1.3819,424314.1
1777779900000,1.3819,1.3836,1.3819,1.383,405799.1
1777780800000,1.383,1.3832,1.3813,1.3823,744088.7
1777781700000,1.3823,1.3837,1.3822,1.3836,288179.0
1777782600000,1.3836,1.3846,1.3834,1.3834,474893.8
1777783500000,1.3834,1.3838,1.3826,1.3829,247759.6
1777784400000,1.3829,1.3853,1.3829,1.3843,612286.1
1777785300000,1.3843,1.3845,1.384,1.3841,241532.6
1777786200000,1.3841,1.3847,1.383,1.383,407859.3
1777787100000,1.383,1.3844,1.3828,1.3842,258501.6
1777788000000,1.3842,1.3842,1.3826,1.3828,533754.2
1777788900000,1.3828,1.3831,1.3815,1.3817,324153.9
1777789800000,1.3817,1.3829,1.3817,1.3822,586533.0
1777790700000,1.3822,1.385,1.3821,1.3843,1331454.1
1777791600000,1.3843,1.3878,1.3842,1.386,1153330.9
1777792500000,1.386,1.3878,1.3855,1.3865,892578.4
1777793400000,1.3865,1.3879,1.3857,1.3867,509904.2
1777794300000,1.3867,1.3872,1.3853,1.3853,488729.2
1777795200000,1.3853,1.3868,1.3851,1.3867,563608.0
1777796100000,1.3867,1.3876,1.3858,1.3867,898141.5
1777797000000,1.3867,1.3874,1.386,1.3871,227359.4
1777797900000,1.3871,1.3876,1.3867,1.3874,308171.2
1777798800000,1.3874,1.3879,1.387,1.387,241238.0
1777799700000,1.387,1.3887,1.3867,1.388,469461.1
1777800600000,1.388,1.3901,1.387,1.3887,813443.9
1777801500000,1.3887,1.3893,1.388,1.3886,665485.1
1777802400000,1.3886,1.3888,1.3872,1.3882,373688.7
1777803300000,1.3882,1.3887,1.388,1.3882,135520.1
1777804200000,1.3882,1.3892,1.3882,1.3885,608922.9
1777805100000,1.3885,1.3887,1.3872,1.3872,995464.0
1777806000000,1.3872,1.3895,1.3862,1.389,1242360.3
1777806900000,1.389,1.3893,1.3883,1.3884,385291.0
1777807800000,1.3884,1.3941,1.3884,1.3935,1886197.6
1777808700000,1.3935,1.3977,1.393,1.3943,3061261.9
1777809600000,1.3943,1.3977,1.3943,1.3969,1527747.5
1777810500000,1.3969,1.3972,1.3953,1.3957,892318.4
1777811400000,1.3957,1.3962,1.3949,1.3961,909417.8
1777812300000,1.3961,1.3969,1.3951,1.3955,462942.6
1777813200000,1.3955,1.3981,1.3948,1.3971,476679.3
1777814100000,1.3971,1.3972,1.3926,1.3937,1882750.2
1777815000000,1.3937,1.3944,1.3923,1.3932,777139.3
1777815900000,1.3932,1.3954,1.3931,1.3944,1395073.2
1777816800000,1.3944,1.3957,1.3928,1.3936,801315.1
1777817700000,1.3936,1.3942,1.3922,1.3931,826158.2
1777818600000,1.3931,1.394,1.3925,1.3938,416789.1
1777819500000,1.3938,1.3969,1.3936,1.3961,899568.9
1777820400000,1.3961,1.398,1.3951,1.3953,1863691.4
1777821300000,1.3953,1.3969,1.3946,1.3964,771203.0
1777822200000,1.3964,1.3973,1.394,1.3943,627600.3
1777823100000,1.3943,1.3952,1.3935,1.3949,843821.8
1777824000000,1.3949,1.3957,1.3934,1.3939,527660.5
1777824900000,1.3939,1.3948,1.3933,1.3944,306493.5
1777825800000,1.3944,1.3976,1.3944,1.3953,1208125.3
1777826700000,1.3953,1.3957,1.3934,1.3934,562912.5
1777827600000,1.3934,1.3944,1.3908,1.3939,1762232.2
1777828500000,1.3939,1.3957,1.3939,1.3943,557580.2
1777829400000,1.3943,1.3956,1.3938,1.3955,332050.1
1777830300000,1.3955,1.3955,1.3936,1.3942,314376.8
1777831200000,1.3942,1.3946,1.3934,1.3943,835492.8
1777832100000,1.3943,1.3948,1.3928,1.3939,386948.9
1777833000000,1.3939,1.3943,1.3928,1.3933,284135.8
1777833900000,1.3933,1.3946,1.3931,1.3934,59306.1
1777834800000,1.3934,1.3946,1.3929,1.3929,191519.4
1777835700000,1.3929,1.3944,1.3929,1.394,283485.9
1777836600000,1.394,1.3973,1.394,1.3955,743737.5
1777837500000,1.3955,1.3957,1.3944,1.3945,180629.4
1777838400000,1.3945,1.3951,1.3931,1.3931,154393.5
1777839300000,1.3931,1.395,1.3919,1.3943,1313940.5
1777840200000,1.3943,1.3992,1.3941,1.3956,2042531.2
1777841100000,1.3956,1.3958,1.3917,1.3922,754093.2
1777842000000,1.3922,1.395,1.3913,1.395,901499.8
1777842900000,1.395,1.395,1.3924,1.3924,565666.1
