time,open,high,low,close,volume
1776862800000,1.4497,1.4549,1.4471,1.4526,4119113.0
1776864600000,1.4526,1.4603,1.4502,1.4582,8781199.9
1776866400000,1.4582,1.463,1.4539,1.4575,13683153.2
1776868200000,1.4575,1.458,1.4509,1.457,4982283.9
1776870000000,1.457,1.4577,1.4513,1.453,8547936.8
1776871800000,1.453,1.46,1.451,1.4557,5902895.4
1776873600000,1.4557,1.4581,1.4464,1.4472,6160321.9
1776875400000,1.4472,1.4489,1.4451,1.446,5152068.3
1776877200000,1.446,1.4515,1.4453,1.4467,2074881.4
1776879000000,1.4467,1.4501,1.4433,1.4482,6555251.5
1776880800000,1.4482,1.4522,1.4482,1.4499,1796675.9
1776882600000,1.4499,1.4506,1.4468,1.4469,1139343.0
1776884400000,1.4469,1.4472,1.4404,1.445,3481938.6
1776886200000,1.445,1.4453,1.4361,1.4404,4499827.0
1776888000000,1.4404,1.442,1.4323,1.437,6267819.4
1776889800000,1.437,1.4379,1.4351,1.4362,1980387.0
1776891600000,1.4362,1.4395,1.436,1.4388,2693106.7
1776893400000,1.4388,1.4407,1.4388,1.4407,1084120.8
1776895200000,1.4407,1.4409,1.4358,1.4362,1650443.9
1776897000000,1.4362,1.4374,1.4345,1.4373,1158960.7
1776898800000,1.4373,1.4374,1.4283,1.4322,5473227.0
1776900600000,1.4322,1.4322,1.4277,1.4286,3246493.8
1776902400000,1.4286,1.4306,1.415,1.4276,12463580.5
1776904200000,1.4276,1.4305,1.4255,1.4284,3576202.0
1776906000000,1.4284,1.429,1.4206,1.4206,3207070.9
1776907800000,1.4206,1.4267,1.4197,1.425,1607523.0
1776909600000,1.425,1.4253,1.4177,1.4187,3569584.9
1776911400000,1.4187,1.4194,1.4143,1.418,4187850.9
1776913200000,1.418,1.4211,1.4135,1.4143,3677946.8
1776915000000,1.4143,1.4153,1.4103,1.4152,3967767.1
1776916800000,1.4152,1.4181,1.4143,1.4157,2785593.1
1776918600000,1.4157,1.4185,1.4152,1.4164,2119228.3
1776920400000,1.4164,1.419,1.416,1.4164,2291367.7
1776922200000,1.4164,1.4197,1.4141,1.4189,2676482.8
1776924000000,1.4189,1.4238,1.4189,1.4232,6279333.4
1776925800000,1.4232,1.4241,1.4203,1.4228,1360269.7
1776927600000,1.4228,1.4232,1.42,1.4213,1418288.1
1776929400000,1.4213,1.4222,1.4188,1.42,2062904.0
1776931200000,1.42,1.4203,1.4155,1.4169,2427231.4
1776933000000,1.4169,1.418,1.4142,1.4172,1962329.6
