time,open,high,low,close,volume
1778362200000,1.4216,1.4216,1.4208,1.4208,70851.8
1778362500000,1.4208,1.4212,1.4207,1.4209,52350.1
1778362800000,1.4209,1.4218,1.4205,1.4209,155642.2
1778363100000,1.4209,1.4211,1.4204,1.421,152959.5
1778363400000,1.421,1.4217,1.4208,1.4216,86305.9
1778363700000,1.4216,1.4218,1.421,1.4218,90560.3
1778364000000,1.4218,1.4223,1.4208,1.4213,275945.4
1778364300000,1.4213,1.4216,1.4207,1.4211,100887.3
1778364600000,1.4211,1.4217,1.4206,1.4211,131097.7
1778364900000,1.4211,1.422,1.421,1.4216,70316.2
1778365200000,1.4216,1.422,1.4216,1.4219,101603.4
1778365500000,1.4219,1.4226,1.4218,1.4222,78870.6
1778365800000,1.4222,1.4222,1.4208,1.422,184644.3
1778366100000,1.422,1.4225,1.4215,1.4225,72926.0
1778366400000,1.4225,1.4241,1.4223,1.4238,244878.5
1778366700000,1.4238,1.4243,1.4229,1.423,195496.9
1778367000000,1.423,1.4237,1.4227,1.4228,253246.0
1778367300000,1.4228,1.423,1.4222,1.4226,201741.1
1778367600000,1.4226,1.4245,1.4225,1.4233,189540.6
1778367900000,1.4233,1.4234,1.4214,1.4216,332881.5
1778368200000,1.4216,1.4221,1.4213,1.4215,114414.0
1778368500000,1.4215,1.4218,1.4205,1.4206,209927.1
1778368800000,1.4206,1.4206,1.4188,1.4196,591427.4
1778369100000,1.4196,1.4198,1.4193,1.4197,136831.5
1778369400000,1.4197,1.4198,1.4189,1.4191,573215.7
1778369700000,1.4191,1.4197,1.4181,1.4185,320317.5
1778370000000,1.4185,1.419,1.4184,1.419,300078.6
1778370300000,1.419,1.4202,1.4189,1.4201,76200.9
1778370600000,1.4201,1.4202,1.4197,1.4199,99711.3
1778370900000,1.4199,1.42,1.4194,1.4197,204359.4
1778371200000,1.4197,1.42,1.4179,1.4182,599943.0
1778371500000,1.4182,1.4193,1.4178,1.4192,496863.4
1778371800000,1.4192,1.4204,1.4192,1.4201,151034.0
1778372100000,1.4201,1.4204,1.4195,1.4202,82602.4
1778372400000,1.4202,1.4219,1.4202,1.4205,345708.6
1778372700000,1.4205,1.4208,1.4196,1.4205,156435.5
1778373000000,1.4205,1.4205,1.419,1.4204,157965.6
1778373300000,1.4204,1.4207,1.4185,1.4193,224652.3
1778373600000,1.4193,1.4193,1.4182,1.4187,443462.9
1778373900000,1.4187,1.4189,1.4166,1.4173,832973.9
1778374200000,1.4173,1.4173,1.4159,1.4161,395229.5
1778374500000,1.4161,1.4163,1.415,1.416,615776.8
1778374800000,1.416,1.4162,1.4136,1.4149,1156046.3
1778375100000,1.4149,1.415,1.4135,1.4147,1468960.8
1778375400000,1.4147,1.4152,1.414,1.4148,349838.9
1778375700000,1.4148,1.4155,1.4139,1.414,366154.6
1778376000000,1.414,1.4144,1.4118,1.4122,895488.7
1778376300000,1.4122,1.4126,1.4114,1.4116,415056.9
1778376600000,1.4116,1.4128,1.4116,1.4122,205519.8
1778376900000,1.4122,1.4122,1.4112,1.4116,381953.3
1778377200000,1.4116,1.4125,1.4116,1.4122,256476.9
1778377500000,1.4122,1.4127,1.4116,1.4127,310699.1
1778377800000,1.4127,1.4146,1.4126,1.4141,293736.3
1778378100000,1.4141,1.4141,1.4135,1.4141,149005.7
1778378400000,1.4141,1.4141,1.4125,1.4133,385159.8
1778378700000,1.4133,1.4146,1.4133,1.4142,120914.5
1778379000000,1.4142,1.4147,1.4139,1.4147,120760.2
1778379300000,1.4147,1.4167,1.4146,1.416,272171.6
1778379600000,1.416,1.4193,1.4159,1.4192,577956.5
1778379900000,1.4192,1.4212,1.4188,1.4209,1955314.1
1778380200000,1.4209,1.4212,1.4158,1.4165,2011648.5
1778380500000,1.4165,1.4185,1.4165,1.4169,696582.6
1778380800000,1.4169,1.4175,1.4164,1.4164,488177.7
1778381100000,1.4164,1.4171,1.416,1.4171,545376.4
1778381400000,1.4171,1.4175,1.4158,1.4171,474199.7
1778381700000,1.4171,1.4171,1.4159,1.4164,402489.2
1778382000000,1.4164,1.4181,1.4161,1.4181,90034.3
1778382300000,1.4181,1.4181,1.4156,1.4156,443257.6
1778382600000,1.4156,1.4161,1.4148,1.4148,281432.5
1778382900000,1.4148,1.4202,1.4137,1.4178,5117787.4
1778383200000,1.4178,1.4179,1.4146,1.4161,2117334.7
1778383500000,1.4161,1.4161,1.4155,1.4159,24753.9
1778383800000,1.4159,1.417,1.4149,1.4167,375280.6
1778384100000,1.4167,1.4189,1.4166,1.4181,294291.5
1778384400000,1.4181,1.4188,1.4167,1.4169,277702.3
1778384700000,1.4169,1.4177,1.4168,1.4171,56762.9
1778385000000,1.4171,1.4174,1.4166,1.4169,62528.6
1778385300000,1.4169,1.4172,1.4162,1.4162,160264.6
1778385600000,1.4162,1.4169,1.4148,1.4148,164896.7
1778385900000,1.4148,1.4158,1.4148,1.4156,52596.3
1778386200000,1.4156,1.4157,1.4147,1.4156,62006.7
1778386500000,1.4156,1.4164,1.4151,1.4152,60946.7
1778386800000,1.4152,1.4153,1.4148,1.415,85317.3
1778387100000,1.415,1.4161,1.4149,1.4159,243051.6
1778387400000,1.4159,1.4178,1.4159,1.4172,179351.0
1778387700000,1.4172,1.4178,1.4171,1.4176,60824.9
1778388000000,1.4176,1.4181,1.4167,1.4167,142569.4
1778388300000,1.4167,1.4167,1.4159,1.4167,97545.9
1778388600000,1.4167,1.418,1.4166,1.418,72871.5
1778388900000,1.418,1.4184,1.417,1.417,195154.5
1778389200000,1.417,1.4171,1.4157,1.4168,297268.0
1778389500000,1.4168,1.4172,1.4157,1.4167,188546.0
1778389800000,1.4167,1.4171,1.4157,1.4166,140621.6
1778390100000,1.4166,1.4177,1.4165,1.417,99990.6
1778390400000,1.417,1.4187,1.4168,1.4187,163726.9
1778390700000,1.4187,1.4199,1.4177,1.4177,929780.6
1778391000000,1.4177,1.4184,1.4176,1.4182,64521.8
1778391300000,1.4182,1.419,1.4179,1.4184,93174.6
1778391600000,1.4184,1.4185,1.4173,1.4174,121336.3
1778391900000,1.4174,1.4181,1.4172,1.418,139082.1
1778392200000,1.418,1.418,1.4174,1.4175,97826.7
1778392500000,1.4175,1.4176,1.417,1.4173,262769.0
1778392800000,1.4173,1.4178,1.4167,1.4174,304136.8
1778393100000,1.4174,1.4178,1.4172,1.4173,34594.5
1778393400000,1.4173,1.4173,1.4155,1.4163,298960.8
1778393700000,1.4163,1.4164,1.4154,1.4154,113145.7
1778394000000,1.4154,1.4162,1.4149,1.4155,99749.9
1778394300000,1.4155,1.4155,1.415,1.415,95397.1
1778394600000,1.415,1.416,1.415,1.4158,77307.5
1778394900000,1.4158,1.417,1.4156,1.4167,270142.2
1778395200000,1.4167,1.4178,1.416,1.4167,1046360.8
1778395500000,1.4167,1.4174,1.4164,1.417,342973.6
1778395800000,1.417,1.4176,1.4169,1.4173,233430.7
1778396100000,1.4173,1.4178,1.4168,1.4178,152538.2
1778396400000,1.4178,1.42,1.4178,1.4183,597565.5
1778396700000,1.4183,1.419,1.4176,1.4181,297690.2
1778397000000,1.4181,1.4182,1.4166,1.4167,675012.6
1778397300000,1.4167,1.4183,1.4166,1.4179,162284.9
1778397600000,1.4179,1.4199,1.4177,1.4197,377556.2
1778397900000,1.4197,1.4199,1.419,1.419,307085.9
