id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
0734faf3,bull,s14|s95|s21,3,0.0688194997,0.0111243009,42.6903,0.0,-12.759,38,31.5789,0.172688
99300811,bull,s54|s96|s10,3,0.0780333913,0.0168167416,45.0322,0.0,-28.2434,136,25.7353,0.172605
f000479a,bull,s21|s82|s54,3,0.048336247,0.0142732364,27.0947,0.0,-14.5323,64,35.9375,0.172594
43a9a5da,bull,s92|s7|s21,3,0.0710849793,0.0111271042,36.7249,0.0,-17.893,53,26.4151,0.172466
4be09963,bull,s78|s65|s47|s33,4,0.0792676184,0.01958612,37.9842,0.0,-16.452,43,32.5581,0.172219
68e4c698,bull,s41|s47|s7|s21|s87,5,0.0535627321,0.0193434119,27.7258,0.0,-16.6679,81,37.037,0.172011
b45d1023,bull,s95|s65|s91|s21|s10,5,0.0793291199,0.0166525759,41.9802,0.0,-24.3192,113,25.6637,0.171954
f70b11ac,bear,s97|s86|s101|s52|s76,5,0.0764823562,0.0178136548,39.9795,0.0,-13.1783,39,33.3333,0.171899
c4bb1216,bull,s59|s21|s82,3,0.0559805791,0.0190375305,29.4191,0.0,-16.2739,46,39.1304,0.171346
6e2874d4,bull,s21|s14|s48|s33,4,0.0747380517,0.017384706,59.7471,0.0,-6.6728,24,45.8333,0.171106
15369e47,bull,s95|s60|s70|s21,4,0.0705713436,0.019536508,51.2555,0.0,-7.3245,27,44.4444,0.170846
19498672,bull,s6|s95|s21|s2|s75,5,0.0710550975,0.0128173865,34.5923,0.0,-17.1759,50,28.0,0.170842
0c751565,bear,s18|s62|s89|s17|s99,5,0.0529575596,0.0196097669,33.2095,0.0,-9.7023,36,44.4444,0.170686
b25b5b2a,bull,s21|s39|s93|s2|s59,5,0.0694363126,0.0141213975,60.8783,0.0,-5.3166,23,47.8261,0.170679
476f0df4,bull,s35|s21|s34|s78,4,0.0611429078,0.0195945809,31.5413,0.0,-20.5614,65,35.3846,0.170635
fc745202,bull,s21|s70|s93,3,0.0669463555,0.013435262,42.2106,0.0,-16.0526,38,34.2105,0.16972
57d353d9,bull,s21|s88|s26,3,0.0782435872,0.0143965915,42.7567,0.0,-15.3257,39,30.7692,0.169539
b61b7a5b,bull,s21|s10|s35|s68,4,0.0685109678,0.0147334438,40.2573,0.0,-13.9787,38,34.2105,0.168511
a7dd1ea8,bull,s94|s73|s9|s34,4,0.0644216446,0.0197693846,34.7505,0.0,-22.317,46,36.9565,0.168287
335e93c3,bull,s44|s3|s87|s63|s5,5,0.0772472264,0.0182465155,32.7699,0.0,-16.4018,66,28.7879,0.168238
f401c371,bull,s21|s64|s26,3,0.0794873333,0.0145039411,34.927,0.0,-15.5673,72,25.0,0.168006
54f58388,bull,s10|s9|s94|s78,4,0.0592552975,0.0190372961,34.6727,0.0,-24.6997,93,34.4086,0.167818
488dbbeb,bull,s35|s21|s68,3,0.079880887,0.0138197018,37.5416,0.0,-13.3409,43,27.907,0.166724
72b4638d,bull,s21|s10|s68|s34,4,0.0639447032,0.0165845447,33.5484,0.0,-15.257,43,34.8837,0.166043
c52b553d,bull,s15|s74|s54|s30,4,0.0519837113,0.0163080639,27.3235,0.0,-12.2469,44,38.6364,0.165847
30cd5492,bull,s33|s92|s36|s21,4,0.0626975055,0.0178394556,51.7792,0.0,-4.3036,24,50.0,0.165219
3d023b99,bull,s69|s75|s78|s87,4,0.0467646694,0.0196808796,32.9578,0.0,-7.9173,32,50.0,0.165171
8b7a872e,bull,s21|s78|s39,3,0.0569194529,0.0191654098,31.0555,0.0,-22.2622,78,35.8974,0.165128
265eddd1,bull,s44|s54|s41|s88,4,0.0354815641,0.0168395637,15.138,0.0,-10.1543,60,45.0,0.165089
bd649b83,bull,s91|s60|s95|s94,4,0.051793753,0.0196938632,26.4383,0.0,-20.2641,55,40.0,0.164961
23f6ec1c,bull,s84|s79|s47|s34|s94,5,0.0544746485,0.0159461185,24.3294,0.0,-11.9444,58,34.4828,0.164933
3866b164,bull,s83|s70|s21,3,0.0771873294,0.0179781492,43.465,0.0,-19.8256,38,34.2105,0.164931
66c8e48e,bull,s78|s21|s41|s88|s45,5,0.0511133235,0.0197548516,28.4444,0.0,-15.413,42,42.8571,0.164732
d7d7cf07,bull,s68|s21|s35|s9,4,0.0729659253,0.0174382556,35.4718,0.0,-16.0072,43,32.5581,0.164724
3f3295bd,bear,s17|s57|s86|s101|s25,5,0.0751874362,0.0190268217,32.9704,0.0,-20.7537,51,31.3725,0.163738
54bdaf84,bull,s92|s21|s34|s96,4,0.0665450594,0.0127583599,53.5134,0.0,-6.5082,25,44.0,0.163265
d2039c12,bull,s36|s68|s35|s21,4,0.0651813826,0.0110990325,39.1977,0.0,-11.4077,37,32.4324,0.1627
608552a9,bull,s21|s73|s70,3,0.0587600678,0.0116926857,35.2243,0.0,-15.8991,42,33.3333,0.162288
4235afe7,bull,s64|s21|s59,3,0.0614056088,0.0188537644,27.8569,0.0,-17.5301,61,34.4262,0.162116
8a206f62,bull,s7|s21|s26,3,0.0693232136,0.0181958049,30.7445,0.0,-17.7178,72,30.5556,0.161491
8682ca3f,bull,s8|s21|s30,3,0.0797911648,0.0167093443,36.0891,0.0,-20.542,84,26.1905,0.161302
9e4c5fe5,bear,s77|s20|s56|s86|s29,5,0.0777678739,0.0183690784,36.9658,0.0,-14.6233,40,32.5,0.161195
21f27639,bull,s21|s41|s7|s73,4,0.0783629556,0.0087187497,36.1172,0.0,-16.3331,55,21.8182,0.160924
d50dd692,bull,s70|s94|s83|s91|s40,5,0.0705359639,0.0195594624,30.7938,0.0,-19.8886,59,32.2034,0.16012
6dc36a0a,bear,s100|s86|s61|s99|s17,5,0.0688291553,0.0187652044,33.7962,0.0,-22.3446,47,34.0426,0.160062
04cb766d,bull,s1|s43|s87|s84,4,0.0564721338,0.0170616737,25.7232,0.0,-13.7781,47,36.1702,0.159865
a2cef79a,bull,s8|s10|s21|s78,4,0.0637876249,0.0194647401,34.2077,0.0,-25.6757,84,33.3333,0.159804
5f85fda4,bull,s47|s83|s39|s43|s94,5,0.0496638322,0.019697782,23.827,0.0,-19.258,54,40.7407,0.159756
b138cf39,bull,s70|s88|s14|s54,4,0.0362497939,0.0165836166,18.7126,0.0,-16.011,70,44.2857,0.159674
2a9199bf,bull,s54|s39|s59,3,0.0433802936,0.0167653121,29.2312,0.0,-12.3631,36,47.2222,0.159482
3e54edc1,bull,s75|s45|s4|s78,4,0.065440486,0.0192586596,38.6338,0.0,-9.1354,32,40.625,0.159363
413cdb71,bull,s34|s94|s69|s21,4,0.065503339,0.0132522031,31.9257,0.0,-17.3461,72,27.7778,0.158998
8f0a90d1,bull,s24|s78|s1|s95,4,0.059777291,0.0193668486,26.5461,0.0,-14.8145,46,36.9565,0.158802
