id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
42b63e27,bear,s52|s86|s22|s20|s66,5,0.035270878,0.0167863425,20.3432,0.0,-7.0604,23,56.5217,0.105688,-12.8694,0.0,-13.9541,7,0.0,-0.013068
2caaf759,bear,s66|s52|s28|s29|s62,5,0.0237429357,0.0123955245,6.7141,0.0,-7.3977,29,51.7241,0.092705,-6.0585,0.0,-8.9392,6,16.6667,-0.000126
d2676337,bear,s18|s99|s72|s66|s85,5,0.0305780387,0.0184877239,7.6489,0.0,-12.3555,33,51.5152,0.097729,-7.8525,0.0,-11.1328,4,0.0,-0.005185
47a39d20,bear,s71|s52|s31|s22|s81,5,0.019100909,0.0081385116,-1.9893,0.0,-7.9984,50,44.0,0.100048,-8.8758,0.0,-10.7297,10,10.0,-0.007538
8d378656,bear,s86|s66|s101|s17|s28,5,0.0252691213,0.0117627068,1.8133,0.0,-9.7541,43,44.186,0.095072,-8.9637,0.0,-10.1628,11,18.1818,-0.002596
a1ea605e,bear,s86|s90|s62|s99,4,0.0338910721,0.0112638631,17.3376,0.0,-7.8298,27,48.1481,0.102765,-10.0212,0.0,-11.1414,7,0.0,-0.010291
5c50358c,bear,s86|s97|s31|s61,4,0.0303663274,0.0155052488,13.2448,0.0,-7.6723,26,53.8462,0.09958,-9.4201,0.0,-11.3089,5,0.0,-0.007161
5f5234fd,bear,s99|s13|s71,3,0.0261807228,0.0150752966,1.5646,0.0,-8.7282,38,47.3684,0.092856,-6.6033,0.0,-9.6068,6,16.6667,-0.000628
528aecb3,bear,s100|s37|s89|s66|s17,5,0.0294517289,0.0167501023,12.9104,0.0,-5.7338,22,59.0909,0.093154,-7.095,0.0,-9.9137,6,16.6667,-0.000975
d93de82d,bear,s22|s86|s99|s80,4,0.0315223074,0.0196094919,11.1239,0.0,-10.4605,27,55.5556,0.097082,-8.7513,0.0,-9.8416,4,0.0,-0.005162
d67f131f,bear,s20|s62|s81|s98|s101,5,0.0250145371,0.0113355908,4.1789,0.0,-9.9415,42,45.2381,0.102989,-11.6116,0.0,-13.0621,10,10.0,-0.011127
c9692e36,bear,s29|s89|s81|s57|s22,5,0.0301836792,0.0189731736,15.2572,0.0,-8.2254,21,61.9048,0.093268,-4.4175,0.0,-5.8622,2,0.0,-0.00141
51c47492,bear,s50|s86|s17|s81,4,0.0312365473,0.0173645215,9.1507,0.0,-12.4717,31,51.6129,0.095496,-9.354,0.0,-10.5479,7,14.2857,-0.003668
09f51c3d,bear,s86|s20|s13|s98|s52,5,0.0332072188,0.0187133673,11.4001,0.0,-7.8952,29,51.7241,0.102711,-12.5302,0.0,-13.6191,6,0.0,-0.010917
8e290927,bear,s66|s80|s31|s86|s90,5,0.0249371192,0.015201976,7.3418,0.0,-6.8358,27,55.5556,0.094784,-8.8206,0.0,-9.7049,7,14.2857,-0.003016
a80407d1,bear,s22|s25|s100|s99|s52,5,0.0284802551,0.016445837,5.8656,0.0,-10.5354,34,50.0,0.096462,-7.4598,0.0,-9.6141,4,0.0,-0.004695
4d12339e,bear,s19|s76|s99|s81,4,0.0266341393,0.0177478258,13.6166,0.0,-10.0008,22,63.6364,0.094764,-6.292,0.0,-8.4247,3,0.0,-0.003027
720c2641,bear,s16|s71|s99|s22|s81,5,0.0233180305,0.0114896857,-0.2705,0.0,-7.7239,42,45.2381,0.093627,-7.1211,0.0,-9.422,7,14.2857,-0.001945
3dc7edc9,bear,s16|s98|s76|s90|s20,5,0.0330872653,0.0160480267,14.5484,0.0,-8.2129,26,53.8462,0.101449,-12.0833,0.0,-13.1641,9,11.1111,-0.009809
f878200f,bear,s98|s89|s17|s37,4,0.0291728724,0.0166973711,12.6098,0.0,-5.7411,22,59.0909,0.092615,-7.1053,0.0,-9.9239,6,16.6667,-0.000983
d72b56a9,bear,s29|s51|s16|s86,4,0.0271178149,0.0140612471,4.4903,0.0,-8.9381,38,47.3684,0.101272,-10.9748,0.0,-12.6117,6,0.0,-0.009808
b7c0dd99,bear,s52|s57|s23|s99|s71,5,0.0274725453,0.009965904,3.9288,0.0,-8.758,45,40.0,0.098497,-7.6179,0.0,-9.7309,6,0.0,-0.00716
f205b45e,bear,s23|s99|s57|s28|s52,5,0.0290361288,0.0097865063,4.7182,0.0,-10.9399,52,38.4615,0.101438,-8.8431,0.0,-12.6091,11,9.0909,-0.010104
02aa02d8,bear,s81|s76|s86|s72,4,0.0319651637,0.0192182285,9.116,0.0,-11.7041,31,51.6129,0.096838,-9.0206,0.0,-11.0483,4,0.0,-0.005538
14bb0b20,bear,s61|s100|s97|s52|s86,5,0.0339114699,0.0138326196,7.0854,0.0,-7.7352,38,42.1053,0.099903,-10.7865,0.0,-12.7271,9,11.1111,-0.008639
009e3744,bear,s23|s62|s98|s31|s18,5,0.0232000696,0.010228554,7.1802,0.0,-6.7338,32,50.0,0.101452,-10.0962,0.0,-10.8249,7,0.0,-0.0102
0fef3b99,bear,s56|s86|s51|s23|s17,5,0.0304472168,0.0179231212,8.7439,0.0,-13.1951,33,51.5152,0.098958,-10.5336,0.0,-11.9529,5,0.0,-0.007799
fa76744b,bear,s81|s86|s16|s23|s51,5,0.0272185545,0.0127047297,8.0078,0.0,-8.6647,33,48.4848,0.099984,-9.8423,0.0,-11.4834,6,0.0,-0.008858
