antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'s100'}),frozenset({'s62'}),0.212,0.164,0.104,0.49056603773584906,2.991256327657616,1.0,0.06923199999999999,1.641037037037037,0.8447871925029284,0.38235294117647056,0.3906292317414462,0.5623561895996319
frozenset({'s62'}),frozenset({'s100'}),0.164,0.212,0.104,0.6341463414634145,2.9912563276576156,1.0,0.06923199999999999,2.153866666666666,0.7962826647037172,0.38235294117647056,0.5357187074408815,0.5623561895996319
frozenset({'s81'}),frozenset({'s13'}),0.196,0.196,0.08,0.40816326530612246,2.0824656393169514,1.0,0.041583999999999996,1.3584827586206898,0.6465174129353233,0.25641025641025644,0.2638846583409483,0.40816326530612246
frozenset({'s13'}),frozenset({'s81'}),0.196,0.196,0.08,0.40816326530612246,2.0824656393169514,1.0,0.041583999999999996,1.3584827586206898,0.6465174129353233,0.25641025641025644,0.2638846583409483,0.40816326530612246
frozenset({'s23'}),frozenset({'s25'}),0.312,0.124,0.076,0.24358974358974358,1.9644334160463193,1.0,0.037312,1.1581016949152543,0.7135862913096696,0.2111111111111111,0.1365179721344105,0.4282464846980976
frozenset({'s25'}),frozenset({'s23'}),0.124,0.312,0.076,0.6129032258064516,1.9644334160463193,1.0,0.037312,1.7773333333333332,0.5604422013938957,0.2111111111111111,0.4373593398349588,0.4282464846980976
