id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
e883ccea,bear,s62|s20|s18|s97|s66,5,0.0267188201,0.0160519279,5.8736,0.0,-11.3417,41,51.2195,0.117365
f74ad9d1,bear,s66|s90|s99|s86,4,0.0322037356,0.0136385938,15.4869,0.0,-5.702,30,50.0,0.116905
39c68d84,bear,s62|s80|s89|s85|s17,5,0.023632891,0.010563027,16.7141,0.0,-3.7921,24,62.5,0.11663
aa68b2e6,bear,s18|s99|s76|s37,4,0.025064657,0.0151914662,4.4987,0.0,-11.9646,43,51.1628,0.116607
e5590d67,bear,s100|s52|s80|s62,4,0.0226003331,0.0113606497,7.3093,0.0,-8.5748,37,51.3514,0.1166
87cac48a,bear,s99|s23|s28|s101,4,0.0195588566,0.0104287549,4.8245,0.0,-5.2226,35,54.2857,0.116541
321444f1,bear,s20|s37|s29|s71|s81,5,0.0264552121,0.0131523948,7.7105,0.0,-9.2133,39,48.7179,0.116498
84f090c2,bear,s31|s76|s17|s89|s99,5,0.0306788798,0.0105204775,11.7259,0.0,-6.4856,37,43.2432,0.116311
54c936c8,bear,s80|s19|s50|s23,4,0.0295019119,0.0188483885,7.6885,0.0,-9.3465,36,52.7778,0.115954
01c2678c,bear,s29|s28|s99|s52|s76,5,0.0289340344,0.0126159783,6.5006,0.0,-12.1844,48,43.75,0.115871
f51ee6b2,bear,s80|s67|s52|s29,4,0.018654013,0.0096717501,2.9867,0.0,-8.1584,41,51.2195,0.115727
bdb0921f,bear,s90|s62|s80|s16|s67,5,0.0248539037,0.0160771552,7.7797,0.0,-9.7658,35,54.2857,0.115275
1b94d5e6,bear,s23|s99|s86,3,0.0339588605,0.0147453905,12.1157,0.0,-10.1814,37,45.9459,0.11526
508e38c3,bear,s50|s18|s67|s86,4,0.029322903,0.0186726819,10.5201,0.0,-6.9678,31,54.8387,0.11513
99075fc1,bear,s52|s72|s62|s98|s67,5,0.0245614613,0.0087038546,9.4769,0.0,-6.7712,37,45.9459,0.115019
dd803120,bear,s85|s29|s72|s99|s51,5,0.0313735572,0.0080210992,10.5242,0.0,-6.8327,44,36.3636,0.115007
112c6bfb,bear,s81|s37|s71|s67|s20,5,0.0221936054,0.01202086,12.5521,0.0,-4.6845,26,61.5385,0.114801
b7c4bd2c,bear,s71|s61|s16|s81|s23,5,0.0226574015,0.0145065031,0.5508,0.0,-11.1025,47,51.0638,0.114762
1a44b88d,bear,s86|s28|s31|s72,4,0.0334879541,0.0138487869,16.4293,0.0,-8.631,31,48.3871,0.114691
6a99d4d2,bear,s52|s31|s81|s20,4,0.0180491522,0.0119299181,-1.2493,0.0,-10.9193,47,53.1915,0.11451
119594dc,bear,s101|s86|s90|s62,4,0.019676769,0.0118125695,4.2415,0.0,-8.1515,37,54.0541,0.114459
1c8e3499,bear,s72|s99|s29|s62,4,0.0283821242,0.0127250612,6.1991,0.0,-10.3306,45,44.4444,0.114424
729f5b5d,bear,s86|s22|s16|s52|s66,5,0.0339703798,0.0174322896,21.1508,0.0,-7.0916,24,58.3333,0.114398
13be5d0d,bear,s81|s97|s90|s16|s61,5,0.020640044,0.0136979284,-0.1781,0.0,-13.5649,52,51.9231,0.114362
4d9df72b,bear,s62|s90|s19|s86,4,0.026776991,0.0126752632,16.0487,0.0,-5.8933,26,57.6923,0.114188
f67fd279,bear,s66|s86|s50|s19,4,0.0265281441,0.0155207821,10.6795,0.0,-7.7508,31,54.8387,0.114069
7ce17e27,bear,s99|s86|s22|s52,4,0.0274044883,0.0142830957,4.1382,0.0,-9.9679,45,46.6667,0.113984
7db4930a,bear,s28|s76|s52|s99,4,0.0227867168,0.0119258811,2.0701,0.0,-11.1105,48,47.9167,0.113951
84989879,bear,s100|s62|s72|s98|s52,5,0.0207515825,0.0122231163,1.8553,0.0,-13.1563,47,51.0638,0.113875
549da6d0,bear,s31|s71|s98|s61|s76,5,0.0191656534,0.0126295633,5.4347,0.0,-7.3873,33,57.5758,0.113721
fcaec8f9,bear,s19|s62|s26,3,0.0302732704,0.0101365306,12.0752,0.0,-8.3266,37,43.2432,0.113257
3ab17481,bear,s81|s16|s71|s52|s76,5,0.0341707711,0.010393212,16.1866,0.0,-10.5564,35,42.8571,0.113154
028554f2,bear,s99|s62|s29|s86|s56,5,0.028950996,0.0187895385,12.1111,0.0,-9.9552,30,56.6667,0.113147
36dd2083,bear,s100|s90|s61|s13|s99,5,0.0198826201,0.0101241213,0.4814,0.0,-10.3212,55,47.2727,0.11278
