id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
f451f945,bull,s36|s93|s83|s64,4,0.0785964964,0.018276273,86.1777,0.0,-15.2448,60,35.0,0.403976,-0.508,0.0,-13.6625,17,23.5294,0.009373
fe8bdd19,bear,s13|s76|s51|s61|s100,5,0.0351783508,0.0164973908,29.1369,0.0,-16.0357,101,45.5446,0.205074,24.6111,0.0,-5.9608,31,54.8387,0.151948
6d642f4b,bear,s13|s76|s51|s72,4,0.0330876422,0.0155649424,33.3473,0.0,-9.4634,71,49.2958,0.252886,15.7608,0.0,-8.4679,24,54.1667,0.096067
029f8ff5,bear,s28|s86|s22|s25|s62,5,0.06793067,0.0160922465,65.0217,0.0,-21.6256,67,34.3284,0.298195,10.9864,0.0,-8.3734,23,30.4348,0.05066
081de5df,bear,s100|s19|s51|s29|s22,5,0.0448568358,0.0182771424,52.0853,0.0,-20.6877,100,43.0,0.275278,4.7759,0.0,-8.9541,34,38.2353,0.072724
8c0beff2,bear,s81|s50|s89|s13|s67,5,0.065501943,0.0160741546,64.3352,0.0,-11.9098,46,39.1304,0.311882,7.9477,0.0,-9.289,16,31.25,0.031256
63a663e2,bear,s28|s23|s101|s61,4,0.0613717232,0.0164331034,42.2696,0.0,-15.4589,67,34.3284,0.225687,37.7486,0.0,-9.2426,21,47.619,0.111772
ec25b38d,bear,s85|s13|s81|s101,4,0.0674409563,0.017237304,65.8996,0.0,-12.1201,49,38.7755,0.336693,-8.8529,0.0,-10.7526,16,18.75,-0.003654
0b9a584a,bear,s72|s23|s25|s98,4,0.061640513,0.0155896893,46.1491,0.0,-15.3299,75,33.3333,0.238607,27.8527,0.0,-8.8658,22,40.9091,0.091318
108cb2bc,bear,s97|s29|s22|s100|s31,5,0.0692574524,0.0179357218,45.504,0.0,-13.408,51,35.2941,0.247674,27.991,0.0,-8.6164,19,42.1053,0.080724
d05d9a45,bear,s81|s101|s66|s23|s25,5,0.0770544209,0.0150867822,66.1583,0.0,-21.5001,73,28.7671,0.286434,10.659,0.0,-14.2688,27,25.9259,0.041908
0ba0bf7e,bear,s101|s23|s28|s77,4,0.0670680464,0.0196006996,45.315,0.0,-21.0846,75,33.3333,0.218006,40.8692,0.0,-15.2308,21,47.619,0.109469
